#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
225725,1489093,BC1847,BC1847,-,-,-,-,"Transcriptional regulator, MerR family",protein-coding,-,-,-,"Transcriptional regulator, MerR family",20180815,-
225725,1489134,BC1888,BC1888,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489135,BC1889,BC1889,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489136,BC1890,BC1890,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489137,BC1891,BC1891,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489138,BC1892,BC1892,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489139,BC1893,BC1893,-,-,-,-,Scaffold protein,protein-coding,-,-,-,Scaffold protein,20180815,-
225725,1489140,BC1894,BC1894,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489141,BC1895,BC1895,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489142,BC1896,BC1896,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489143,BC1897,BC1897,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489144,BC1898,BC1898,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489145,BC1899,BC1899,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489146,BC1900,BC1900,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489147,BC1901,BC1901,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489148,BC1902,BC1902,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489149,BC1903,BC1903,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489150,BC1904,BC1904,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489151,BC1905,BC1905,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489152,BC1906,BC1906,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489153,BC1907,BC1907,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489154,BC1908,BC1908,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489155,BC1909,BC1909,-,-,-,-,XpaF1 protein,protein-coding,-,-,-,XpaF1 protein,20200926,-
225725,1489156,BC1910,BC1910,-,-,-,-,holin,protein-coding,-,-,-,holin,20180815,-
225725,1489157,BC1911,BC1911,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20180815,-
225725,1489158,BC1912,BC1912,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489159,BC1913,BC1913,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489160,BC1914,BC1914,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
225725,1489161,BC1915,BC1915,-,-,-,-,"Transcriptional regulator, PBSX family",protein-coding,-,-,-,"Transcriptional regulator, PBSX family",20180815,-
225725,1489162,BC1916,BC1916,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489163,BC1917,BC1917,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489164,BC1918,BC1918,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489165,BC1919,BC1919,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
225725,1489166,BC1920,BC1920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489167,BC1921,BC1921,-,-,-,-,Site-specific recombinase,protein-coding,-,-,-,Site-specific recombinase,20200926,-
225725,2830979,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage phBC6A51; Phage phBC6A51).,other,-,-,-,-,20200513,-
