#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483674,65117190,2,KNU22_gp02,SEA_STULTUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483674,65117204,16,KNU22_gp16,SEA_STULTUS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117205,17,KNU22_gp17,SEA_STULTUS_17,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2483674,65117206,18,KNU22_gp18,SEA_STULTUS_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117207,19,KNU22_gp19,SEA_STULTUS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117208,20,KNU22_gp20,SEA_STULTUS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117209,21,KNU22_gp21,SEA_STULTUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117210,22,KNU22_gp22,SEA_STULTUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117211,23,KNU22_gp23,SEA_STULTUS_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2483674,65117212,24,KNU22_gp24,SEA_STULTUS_24,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210607,-
2483674,65117213,25,KNU22_gp25,SEA_STULTUS_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2483674,65117214,26,KNU22_gp26,SEA_STULTUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117215,27,KNU22_gp27,SEA_STULTUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117216,28,KNU22_gp28,SEA_STULTUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117217,29,KNU22_gp29,SEA_STULTUS_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2483674,65117218,30,KNU22_gp30,SEA_STULTUS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117219,31,KNU22_gp31,SEA_STULTUS_31,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2483674,65117220,32,KNU22_gp32,SEA_STULTUS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483674,65117221,33,KNU22_gp33,SEA_STULTUS_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483674,65117222,34,KNU22_gp34,SEA_STULTUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117223,35,KNU22_gp35,SEA_STULTUS_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483674,65117224,36,KNU22_gp36,SEA_STULTUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117225,37,KNU22_gp37,SEA_STULTUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117226,38,KNU22_gp38,SEA_STULTUS_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483674,65117227,39,KNU22_gp39,SEA_STULTUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117228,40,KNU22_gp40,SEA_STULTUS_40,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2483674,65117229,41,KNU22_gp41,SEA_STULTUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117230,42,KNU22_gp42,SEA_STULTUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117231,43,KNU22_gp43,SEA_STULTUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117232,44,KNU22_gp44,SEA_STULTUS_44,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2483674,65117233,45,KNU22_gp45,SEA_STULTUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117234,46,KNU22_gp46,SEA_STULTUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117235,47,KNU22_gp47,SEA_STULTUS_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2483674,65117236,48,KNU22_gp48,SEA_STULTUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117237,49,KNU22_gp49,SEA_STULTUS_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2483674,65117238,50,KNU22_gp50,SEA_STULTUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117239,51,KNU22_gp51,SEA_STULTUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117240,52,KNU22_gp52,SEA_STULTUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117241,53,KNU22_gp53,SEA_STULTUS_53,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483674,65117242,54,KNU22_gp54,SEA_STULTUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117243,55,KNU22_gp55,SEA_STULTUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117244,56,KNU22_gp56,SEA_STULTUS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117245,57,KNU22_gp57,SEA_STULTUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483674,65117246,58,KNU22_gp58,SEA_STULTUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117247,59,KNU22_gp59,SEA_STULTUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117248,60,KNU22_gp60,SEA_STULTUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117249,61,KNU22_gp61,SEA_STULTUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117250,62,KNU22_gp62,SEA_STULTUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117251,63,KNU22_gp63,SEA_STULTUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117252,64,KNU22_gp64,SEA_STULTUS_64,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2483674,65117253,65,KNU22_gp65,SEA_STULTUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117254,66,KNU22_gp66,SEA_STULTUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117255,67,KNU22_gp67,SEA_STULTUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117256,68,KNU22_gp68,SEA_STULTUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117257,69,KNU22_gp69,SEA_STULTUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117258,70,KNU22_gp70,SEA_STULTUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117259,71,KNU22_gp71,SEA_STULTUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117260,72,KNU22_gp72,SEA_STULTUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117261,73,KNU22_gp73,SEA_STULTUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117262,74,KNU22_gp74,SEA_STULTUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117263,75,KNU22_gp75,SEA_STULTUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117264,76,KNU22_gp76,SEA_STULTUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117265,77,KNU22_gp77,SEA_STULTUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117266,78,KNU22_gp78,SEA_STULTUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117267,79,KNU22_gp79,SEA_STULTUS_79,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483674,65117268,80,KNU22_gp80,SEA_STULTUS_80,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2483674,65117269,1,KNU22_gp01,SEA_STULTUS_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483674,65242958,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
