#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743826,65127181,KNV11_gp02,KNV11_gp02,elemo63D_phanotate2,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20210608,-
2743826,65127224,KNV11_gp61,KNV11_gp61,elemo63D_phanotate45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127225,KNV11_gp60,KNV11_gp60,elemo63D_phanotate46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127226,KNV11_gp59,KNV11_gp59,elemo63D_phanotate47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127227,KNV11_gp58,KNV11_gp58,elemo63D_phanotate48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127228,KNV11_gp57,KNV11_gp57,elemo63D_phanotate49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127229,KNV11_gp56,KNV11_gp56,elemo63D_phanotate50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127230,KNV11_gp55,KNV11_gp55,elemo63D_phanotate51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127231,KNV11_gp54,KNV11_gp54,elemo63D_phanotate52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127232,KNV11_gp53,KNV11_gp53,elemo63D_phanotate53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127233,KNV11_gp52,KNV11_gp52,elemo63D_phanotate54,-,-,-,PE-PGRS family protein,protein-coding,-,-,-,PE-PGRS family protein,20210608,-
2743826,65127234,KNV11_gp51,KNV11_gp51,elemo63D_phanotate55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127235,KNV11_gp50,KNV11_gp50,elemo63D_phanotate56,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210608,-
2743826,65127236,KNV11_gp49,KNV11_gp49,elemo63D_phanotate57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127237,KNV11_gp48,KNV11_gp48,elemo63D_phanotate58,-,-,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20210608,-
2743826,65127238,KNV11_gp47,KNV11_gp47,elemo63D_phanotate59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127239,KNV11_gp46,KNV11_gp46,elemo63D_phanotate60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127240,KNV11_gp45,KNV11_gp45,elemo63D_phanotate61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127241,KNV11_gp44,KNV11_gp44,elemo63D_phanotate62,-,-,-,co-chaperonin GroES,protein-coding,-,-,-,co-chaperonin GroES,20210608,-
2743826,65127242,KNV11_gp43,KNV11_gp43,elemo63D_phanotate63,-,-,-,chaperonin GroEL,protein-coding,-,-,-,chaperonin GroEL,20210608,-
2743826,65127243,KNV11_gp42,KNV11_gp42,elemo63D_phanotate64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127244,KNV11_gp41,KNV11_gp41,elemo63D_phanotate65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127245,KNV11_gp40,KNV11_gp40,elemo63D_phanotate66,-,-,-,putative YapH protein,protein-coding,-,-,-,putative YapH protein,20210608,-
2743826,65127246,KNV11_gp39,KNV11_gp39,elemo63D_phanotate67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127247,KNV11_gp38,KNV11_gp38,elemo63D_phanotate68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127248,KNV11_gp37,KNV11_gp37,elemo63D_phanotate69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127249,KNV11_gp36,KNV11_gp36,elemo63D_phanotate70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127250,KNV11_gp35,KNV11_gp35,elemo63D_phanotate71,-,-,-,D-alanyl-D-alanine carboxypeptidase,protein-coding,-,-,-,D-alanyl-D-alanine carboxypeptidase,20210608,-
2743826,65127251,KNV11_gp34,KNV11_gp34,elemo63D_phanotate72,-,-,-,DUF285 domain-containing protein,protein-coding,-,-,-,DUF285 domain-containing protein,20210608,-
2743826,65127252,KNV11_gp33,KNV11_gp33,elemo63D_phanotate73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127253,KNV11_gp32,KNV11_gp32,elemo63D_phanotate74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127254,KNV11_gp31,KNV11_gp31,elemo63D_phanotate75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127255,KNV11_gp30,KNV11_gp30,elemo63D_phanotate76,-,-,-,chaperonin cpn10,protein-coding,-,-,-,chaperonin cpn10,20210608,-
2743826,65127256,KNV11_gp29,KNV11_gp29,elemo63D_phanotate77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127257,KNV11_gp28,KNV11_gp28,elemo63D_phanotate78,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127258,KNV11_gp27,KNV11_gp27,elemo63D_phanotate79,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127259,KNV11_gp26,KNV11_gp26,elemo63D_phanotate80,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127260,KNV11_gp25,KNV11_gp25,elemo63D_phanotate81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127261,KNV11_gp24,KNV11_gp24,elemo63D_phanotate82,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127262,KNV11_gp23,KNV11_gp23,elemo63D_phanotate83,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127263,KNV11_gp22,KNV11_gp22,elemo63D_phanotate84,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127264,KNV11_gp21,KNV11_gp21,elemo63D_phanotate85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127265,KNV11_gp20,KNV11_gp20,elemo63D_phanotate86,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127266,KNV11_gp19,KNV11_gp19,elemo63D_phanotate87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127267,KNV11_gp18,KNV11_gp18,elemo63D_phanotate88,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743826,65127268,KNV11_gp88,KNV11_gp88,elemo63D_phanotate18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127269,KNV11_gp01,KNV11_gp01,elemo63D_phanotate1,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,protein-coding,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,20210608,-
2743826,65243439,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Flavobacterium phage vB_Fsp_elemo6-3D).,other,-,-,-,-,20210609,-
