#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655015,25102487,LAUCHELLY_2,LAUCHELLY_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655015,25102512,LAUCHELLY_28,LAUCHELLY_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102513,LAUCHELLY_29,LAUCHELLY_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102514,LAUCHELLY_30,LAUCHELLY_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655015,25102515,LAUCHELLY_31,LAUCHELLY_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655015,25102516,LAUCHELLY_33,LAUCHELLY_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655015,25102517,LAUCHELLY_34,LAUCHELLY_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102518,LAUCHELLY_35,LAUCHELLY_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102519,LAUCHELLY_36,LAUCHELLY_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655015,25102520,LAUCHELLY_37,LAUCHELLY_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102521,LAUCHELLY_38,LAUCHELLY_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102522,LAUCHELLY_40,LAUCHELLY_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102523,LAUCHELLY_41,LAUCHELLY_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102524,LAUCHELLY_42,LAUCHELLY_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102525,LAUCHELLY_43,LAUCHELLY_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102526,LAUCHELLY_44,LAUCHELLY_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102527,LAUCHELLY_25,LAUCHELLY_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655015,25102528,LAUCHELLY_39,LAUCHELLY_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102529,LAUCHELLY_32,LAUCHELLY_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655015,25102530,LAUCHELLY_45,LAUCHELLY_45,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655015,25102531,LAUCHELLY_1,LAUCHELLY_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655015,25147810,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Lauchelly).,other,-,-,-,-,20200513,-
