#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1927017,64408931,KEM13_gp02,KEM13_gp02,K1pha_2,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20210425,-
1927017,64408946,KEM13_gp17,KEM13_gp17,K1pha_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408947,KEM13_gp18,KEM13_gp18,K1pha_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408948,KEM13_gp19,KEM13_gp19,K1pha_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408949,KEM13_gp20,KEM13_gp20,K1pha_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408950,KEM13_gp21,KEM13_gp21,K1pha_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408951,KEM13_gp22,KEM13_gp22,K1pha_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408952,KEM13_gp23,KEM13_gp23,K1pha_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408953,KEM13_gp24,KEM13_gp24,K1pha_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408954,KEM13_gp25,KEM13_gp25,K1pha_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408955,KEM13_gp26,KEM13_gp26,K1pha_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408956,KEM13_gp27,KEM13_gp27,K1pha_27,-,-,-,terminase-like family protein,protein-coding,-,-,-,terminase-like family protein,20210425,-
1927017,64408957,KEM13_gp28,KEM13_gp28,K1pha_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408958,KEM13_gp29,KEM13_gp29,K1pha_29,-,-,-,PD-(D/E)XK nuclease superfamily protein,protein-coding,-,-,-,PD-(D/E)XK nuclease superfamily protein,20210425,-
1927017,64408959,KEM13_gp30,KEM13_gp30,K1pha_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408960,KEM13_gp31,KEM13_gp31,K1pha_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408961,KEM13_gp32,KEM13_gp32,K1pha_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408962,KEM13_gp33,KEM13_gp33,K1pha_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408963,KEM13_gp34,KEM13_gp34,K1pha_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408964,KEM13_gp35,KEM13_gp35,K1pha_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408965,KEM13_gp36,KEM13_gp36,K1pha_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408966,KEM13_gp37,KEM13_gp37,K1pha_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408967,KEM13_gp38,KEM13_gp38,K1pha_38,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20210425,-
1927017,64408968,KEM13_gp39,KEM13_gp39,K1pha_39,-,-,-,endodeoxyribonuclease RusA family protein,protein-coding,-,-,-,endodeoxyribonuclease RusA family protein,20210425,-
1927017,64408969,KEM13_gp40,KEM13_gp40,K1pha_40,-,-,-,luxR family protein,protein-coding,-,-,-,luxR family protein,20210425,-
1927017,64408970,KEM13_gp41,KEM13_gp41,K1pha_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408971,KEM13_gp42,KEM13_gp42,K1pha_42,-,-,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20210425,-
1927017,64408972,KEM13_gp43,KEM13_gp43,K1pha_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408973,KEM13_gp44,KEM13_gp44,K1pha_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408974,KEM13_gp45,KEM13_gp45,K1pha_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408975,KEM13_gp46,KEM13_gp46,K1pha_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408976,KEM13_gp47,KEM13_gp47,K1pha_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408977,KEM13_gp48,KEM13_gp48,K1pha_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408978,KEM13_gp49,KEM13_gp49,K1pha_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408979,KEM13_gp50,KEM13_gp50,K1pha_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408980,KEM13_gp51,KEM13_gp51,K1pha_51,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20210425,-
1927017,64408981,KEM13_gp52,KEM13_gp52,K1pha_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408982,KEM13_gp53,KEM13_gp53,K1pha_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408983,KEM13_gp54,KEM13_gp54,K1pha_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408984,KEM13_gp55,KEM13_gp55,K1pha_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408985,KEM13_gp56,KEM13_gp56,K1pha_56,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210425,-
1927017,64408986,KEM13_gp57,KEM13_gp57,K1pha_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408987,KEM13_gp58,KEM13_gp58,K1pha_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408988,KEM13_gp59,KEM13_gp59,K1pha_59,-,-,-,virulence-associated E family protein,protein-coding,-,-,-,virulence-associated E family protein,20210425,-
1927017,64408989,KEM13_gp60,KEM13_gp60,K1pha_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408990,KEM13_gp61,KEM13_gp61,K1pha_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408991,KEM13_gp62,KEM13_gp62,K1pha_62,-,-,-,putative integron gene cassette protein,protein-coding,-,-,-,putative integron gene cassette protein,20210425,-
1927017,64408992,KEM13_gp63,KEM13_gp63,K1pha_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408993,KEM13_gp64,KEM13_gp64,K1pha_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408994,KEM13_gp65,KEM13_gp65,K1pha_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408995,KEM13_gp66,KEM13_gp66,K1pha_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408996,KEM13_gp01,KEM13_gp01,K1pha_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64441014,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210428,-
