#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815510,29056520,BIZ66_gp02,BIZ66_gp02,PLE3_2,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1815510,29056559,BIZ66_gp41,BIZ66_gp41,PLE3_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056560,BIZ66_gp42,BIZ66_gp42,PLE3_42,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1815510,29056561,BIZ66_gp43,BIZ66_gp43,PLE3_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056562,BIZ66_gp44,BIZ66_gp44,PLE3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056563,BIZ66_gp45,BIZ66_gp45,PLE3_45,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20201221,-
1815510,29056564,BIZ66_gp46,BIZ66_gp46,PLE3_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056565,BIZ66_gp47,BIZ66_gp47,PLE3_47,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20201221,-
1815510,29056566,BIZ66_gp48,BIZ66_gp48,PLE3_48,-,-,-,DUF2513 domain-containing protein,protein-coding,-,-,-,DUF2513 domain-containing protein,20201221,-
1815510,29056567,BIZ66_gp49,BIZ66_gp49,PLE3_49,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1815510,29056568,BIZ66_gp50,BIZ66_gp50,PLE3_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056569,BIZ66_gp51,BIZ66_gp51,PLE3_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056570,BIZ66_gp52,BIZ66_gp52,PLE3_52,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20201221,-
1815510,29056571,BIZ66_gp53,BIZ66_gp53,PLE3_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056572,BIZ66_gp54,BIZ66_gp54,PLE3_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056573,BIZ66_gp55,BIZ66_gp55,PLE3_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056574,BIZ66_gp56,BIZ66_gp56,PLE3_56,-,-,-,autolysin regulatory protein arpU,protein-coding,-,-,-,autolysin regulatory protein arpU,20201221,-
1815510,29056575,BIZ66_gt01,BIZ66_gt01,PLE3_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1815510,29056576,BIZ66_gp59,BIZ66_gp59,PLE3_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056577,BIZ66_gp60,BIZ66_gp60,PLE3_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056578,BIZ66_gp58,BIZ66_gp58,PLE3_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056579,BIZ66_gp57,BIZ66_gp57,PLE3_60,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20201221,-
1815510,29056580,BIZ66_gp01,BIZ66_gp01,PLE3_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1815510,29139898,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
