#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2249779,65069181,KMC73_gp02,KMC73_gp02,WANDERER_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2249779,65069213,KMC73_gp35,KMC73_gp35,WANDERER_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069214,KMC73_gp36,KMC73_gp36,WANDERER_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069215,KMC73_gp37,KMC73_gp37,WANDERER_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069216,KMC73_gp38,KMC73_gp38,WANDERER_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069217,KMC73_gp39,KMC73_gp39,WANDERER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069218,KMC73_gp40,KMC73_gp40,WANDERER_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069219,KMC73_gp41,KMC73_gp41,WANDERER_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069220,KMC73_gp42,KMC73_gp42,WANDERER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069221,KMC73_gp43,KMC73_gp43,WANDERER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069222,KMC73_gp44,KMC73_gp44,WANDERER_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069223,KMC73_gp45,KMC73_gp45,WANDERER_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069224,KMC73_gp46,KMC73_gp46,WANDERER_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069225,KMC73_gp47,KMC73_gp47,WANDERER_47,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2249779,65069226,KMC73_gp48,KMC73_gp48,WANDERER_48,-,-,-,helicase,protein-coding,-,-,-,helicase,20210607,-
2249779,65069227,KMC73_gp49,KMC73_gp49,WANDERER_49,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2249779,65069228,KMC73_gp50,KMC73_gp50,WANDERER_50,-,-,-,VRR-NUC domain protein,protein-coding,-,-,-,VRR-NUC domain protein,20210607,-
2249779,65069229,KMC73_gp51,KMC73_gp51,WANDERER_51,-,-,-,NTP-binding protein,protein-coding,-,-,-,NTP-binding protein,20210607,-
2249779,65069230,KMC73_gp52,KMC73_gp52,WANDERER_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069231,KMC73_gp53,KMC73_gp53,WANDERER_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069232,KMC73_gp54,KMC73_gp54,WANDERER_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069233,KMC73_gp55,KMC73_gp55,WANDERER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069234,KMC73_gp56,KMC73_gp56,WANDERER_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069235,KMC73_gp57,KMC73_gp57,WANDERER_57,-,-,-,YopX family protein,protein-coding,-,-,-,YopX family protein,20210607,-
2249779,65069236,KMC73_gp58,KMC73_gp58,WANDERER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069237,KMC73_gp59,KMC73_gp59,WANDERER_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069238,KMC73_gp60,KMC73_gp60,WANDERER_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069239,KMC73_gp61,KMC73_gp61,WANDERER_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069240,KMC73_gp62,KMC73_gp62,WANDERER_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069241,KMC73_gp63,KMC73_gp63,WANDERER_63,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2249779,65069242,KMC73_gp64,KMC73_gp64,WANDERER_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069243,KMC73_gp65,KMC73_gp65,WANDERER_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069244,KMC73_gp66,KMC73_gp66,WANDERER_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069245,KMC73_gp67,KMC73_gp67,WANDERER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069246,KMC73_gp69,KMC73_gp69,WANDERER_69,-,-,-,RNA polymerase subunit sigma 28,protein-coding,-,-,-,RNA polymerase subunit sigma 28,20210607,-
2249779,65069247,KMC73_gp70,KMC73_gp70,WANDERER_70,-,-,-,RNA polymerase subunit sigma 24,protein-coding,-,-,-,RNA polymerase subunit sigma 24,20210607,-
2249779,65069248,KMC73_gp71,KMC73_gp71,WANDERER_71,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20210607,-
2249779,65069249,KMC73_gp72,KMC73_gp72,WANDERER_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2249779,65069250,KMC73_gp13,KMC73_gp13,WANDERER_12,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210607,-
2249779,65069251,KMC73_gp68,KMC73_gp68,WANDERER_68,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
2249779,65069252,KMC73_gp01,KMC73_gp01,WANDERER_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2249779,65242840,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
