#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340821,16546460,2,PBI_VELVETEEN_2,-,-,-,-,small subunit of terminase,protein-coding,-,-,-,small subunit of terminase,20200629,-
1340821,16546477,19,PBI_VELVETEEN_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1340821,16546478,20,PBI_VELVETEEN_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546479,21,PBI_VELVETEEN_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546480,22,PBI_VELVETEEN_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546481,23,PBI_VELVETEEN_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546482,24,PBI_VELVETEEN_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546483,25,PBI_VELVETEEN_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546484,26,PBI_VELVETEEN_26,-,-,-,-,LysA,protein-coding,-,-,-,LysA,20200629,-
1340821,16546485,27,PBI_VELVETEEN_27,-,-,-,-,LysB,protein-coding,-,-,-,LysB,20200629,-
1340821,16546486,28,PBI_VELVETEEN_28,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1340821,16546487,29,PBI_VELVETEEN_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546488,30,PBI_VELVETEEN_30,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200629,-
1340821,16546489,31,PBI_VELVETEEN_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546490,32,PBI_VELVETEEN_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546491,33,PBI_VELVETEEN_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546492,34,PBI_VELVETEEN_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546493,35,PBI_VELVETEEN_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546494,36,PBI_VELVETEEN_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546495,37,PBI_VELVETEEN_37,-,-,-,-,integrase Y-int,protein-coding,-,-,-,integrase Y-int,20210529,-
1340821,16546496,38,PBI_VELVETEEN_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546497,39,PBI_VELVETEEN_39,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200629,-
1340821,16546498,40,PBI_VELVETEEN_40,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20200629,-
1340821,16546499,41,PBI_VELVETEEN_41,-,-,-,-,DNA damage inducible protein D-like protein,protein-coding,-,-,-,DNA damage inducible protein D-like protein,20210529,-
1340821,16546500,42,PBI_VELVETEEN_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546501,43,PBI_VELVETEEN_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546502,44,PBI_VELVETEEN_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546503,45,PBI_VELVETEEN_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546504,46,PBI_VELVETEEN_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546505,47,PBI_VELVETEEN_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546506,48,PBI_VELVETEEN_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546507,49,PBI_VELVETEEN_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546508,50,PBI_VELVETEEN_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546509,51,PBI_VELVETEEN_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1340821,16546510,52,PBI_VELVETEEN_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1340821,16546511,53,PBI_VELVETEEN_53,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210212,-
1340821,16546512,54,PBI_VELVETEEN_54,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200629,-
1340821,16546513,55,PBI_VELVETEEN_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1340821,16546514,56,PBI_VELVETEEN_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546515,57,PBI_VELVETEEN_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546516,58,PBI_VELVETEEN_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546517,59,PBI_VELVETEEN_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546518,60,PBI_VELVETEEN_60,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210529,-
1340821,16546519,61,PBI_VELVETEEN_61,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1340821,16546520,62,PBI_VELVETEEN_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1340821,16546521,63,PBI_VELVETEEN_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546522,64,PBI_VELVETEEN_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546523,65,PBI_VELVETEEN_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546524,66,PBI_VELVETEEN_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546525,67,PBI_VELVETEEN_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546526,68,PBI_VELVETEEN_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546527,69,PBI_VELVETEEN_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546528,70,PBI_VELVETEEN_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546529,71,PBI_VELVETEEN_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546530,72,PBI_VELVETEEN_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546531,73,PBI_VELVETEEN_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546532,74,PBI_VELVETEEN_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546533,75,PBI_VELVETEEN_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546534,76,PBI_VELVETEEN_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546535,77,PBI_VELVETEEN_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546536,78,PBI_VELVETEEN_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546537,79,PBI_VELVETEEN_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546538,80,PBI_VELVETEEN_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546539,81,PBI_VELVETEEN_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546540,82,PBI_VELVETEEN_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546541,83,PBI_VELVETEEN_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546542,84,PBI_VELVETEEN_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546543,85,PBI_VELVETEEN_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546544,86,PBI_VELVETEEN_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546545,87,PBI_VELVETEEN_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546546,88,PBI_VELVETEEN_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546547,89,PBI_VELVETEEN_89,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210406,-
1340821,16546548,90,PBI_VELVETEEN_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546549,91,PBI_VELVETEEN_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546550,92,PBI_VELVETEEN_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546551,93,PBI_VELVETEEN_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546552,94,PBI_VELVETEEN_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546553,95,PBI_VELVETEEN_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546554,96,PBI_VELVETEEN_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546555,97,PBI_VELVETEEN_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546556,98,PBI_VELVETEEN_98,-,-,-,-,polypeptide N-acetylgalactosaminyltransferase,protein-coding,-,-,-,polypeptide N-acetylgalactosaminyltransferase,20200629,-
1340821,16546557,99,PBI_VELVETEEN_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546558,100,PBI_VELVETEEN_100,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
1340821,16546559,1,PBI_VELVETEEN_1,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1340821,16691741,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Velveteen).,other,-,-,-,-,20200513,-
