#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301545,64368091,2,KD934_gp02,SEA_TAPIOCA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2301545,64368134,45,KD934_gp45,SEA_TAPIOCA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368135,46,KD934_gp46,SEA_TAPIOCA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368136,47,KD934_gp47,SEA_TAPIOCA_47,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2301545,64368137,48,KD934_gp48,SEA_TAPIOCA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368138,49,KD934_gp49,SEA_TAPIOCA_49,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210529,-
2301545,64368139,50,KD934_gp50,SEA_TAPIOCA_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210529,-
2301545,64368140,51,KD934_gp51,SEA_TAPIOCA_51,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210423,-
2301545,64368141,52,KD934_gp52,SEA_TAPIOCA_52,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210423,-
2301545,64368142,53,KD934_gp53,SEA_TAPIOCA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368143,54,KD934_gp54,SEA_TAPIOCA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368144,55,KD934_gp55,SEA_TAPIOCA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368145,56,KD934_gp56,SEA_TAPIOCA_56,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
2301545,64368146,57,KD934_gp57,SEA_TAPIOCA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368147,58,KD934_gp58,SEA_TAPIOCA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368148,59,KD934_gp59,SEA_TAPIOCA_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2301545,64368149,60,KD934_gp60,SEA_TAPIOCA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368150,61,KD934_gp61,SEA_TAPIOCA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368151,62,KD934_gp62,SEA_TAPIOCA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368152,63,KD934_gp63,SEA_TAPIOCA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368153,64,KD934_gp64,SEA_TAPIOCA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368154,65,KD934_gp65,SEA_TAPIOCA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368155,66,KD934_gp66,SEA_TAPIOCA_66,-,-,-,excise,protein-coding,-,-,-,excise,20210423,-
2301545,64368156,67,KD934_gp67,SEA_TAPIOCA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368157,68,KD934_gp68,SEA_TAPIOCA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368158,69,KD934_gp69,SEA_TAPIOCA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64368159,70,KD934_gp70,SEA_TAPIOCA_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2301545,64368160,1,KD934_gp01,SEA_TAPIOCA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301545,64409727,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Tapioca).,other,-,-,-,-,20210426,-
