#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2479933,65117634,KNU28_gp002,KNU28_gp002,KEPCLCAE_00002,-,-,-,double-stranded DNA-binding protein,protein-coding,-,-,-,double-stranded DNA-binding protein,20210607,-
2479933,65117659,KNU28_gp027,KNU28_gp027,KEPCLCAE_00027,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210607,-
2479933,65117660,KNU28_gp028,KNU28_gp028,KEPCLCAE_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117661,KNU28_gp029,KNU28_gp029,KEPCLCAE_00029,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20210612,-
2479933,65117662,KNU28_gp030,KNU28_gp030,KEPCLCAE_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117663,KNU28_gp031,KNU28_gp031,KEPCLCAE_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117664,KNU28_gp032,KNU28_gp032,KEPCLCAE_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117665,KNU28_gp033,KNU28_gp033,KEPCLCAE_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117666,KNU28_gp034,KNU28_gp034,KEPCLCAE_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117667,KNU28_gp035,KNU28_gp035,KEPCLCAE_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117668,KNU28_gp036,KNU28_gp036,KEPCLCAE_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117669,KNU28_gp037,KNU28_gp037,KEPCLCAE_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117670,KNU28_gp038,KNU28_gp038,KEPCLCAE_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117671,KNU28_gp039,KNU28_gp039,KEPCLCAE_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117672,KNU28_gp040,KNU28_gp040,KEPCLCAE_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117673,KNU28_gp041,KNU28_gp041,KEPCLCAE_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117674,KNU28_gp042,KNU28_gp042,KEPCLCAE_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117675,KNU28_gp043,KNU28_gp043,KEPCLCAE_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117676,KNU28_gp044,KNU28_gp044,KEPCLCAE_00044,-,-,-,baseplate tail-tube protein,protein-coding,-,-,-,baseplate tail-tube protein,20210607,-
2479933,65117677,KNU28_gp045,KNU28_gp045,KEPCLCAE_00045,-,-,-,baseplate tail-tube protein,protein-coding,-,-,-,baseplate tail-tube protein,20210607,-
2479933,65117678,KNU28_gp046,KNU28_gp046,KEPCLCAE_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117679,KNU28_gp047,KNU28_gp047,KEPCLCAE_00047,-,-,-,baseplate structural protein,protein-coding,-,-,-,baseplate structural protein,20210607,-
2479933,65117680,KNU28_gp048,KNU28_gp048,KEPCLCAE_00048,-,-,-,baseplate hub protein,protein-coding,-,-,-,baseplate hub protein,20210607,-
2479933,65117681,KNU28_gp049,KNU28_gp049,KEPCLCAE_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117682,KNU28_gp050,KNU28_gp050,KEPCLCAE_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117683,KNU28_gp051,KNU28_gp051,KEPCLCAE_00051,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2479933,65117684,KNU28_gp052,KNU28_gp052,KEPCLCAE_00052,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210607,-
2479933,65117685,KNU28_gp053,KNU28_gp053,KEPCLCAE_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117686,KNU28_gp054,KNU28_gp054,KEPCLCAE_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117687,KNU28_gp055,KNU28_gp055,KEPCLCAE_00055,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20210607,-
2479933,65117688,KNU28_gp056,KNU28_gp056,KEPCLCAE_00056,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20210607,-
2479933,65117689,KNU28_gp057,KNU28_gp057,KEPCLCAE_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117690,KNU28_gp058,KNU28_gp058,KEPCLCAE_00058,-,-,-,highly immunogenic outer capsid protein,protein-coding,-,-,-,highly immunogenic outer capsid protein,20210607,-
2479933,65117691,KNU28_gp059,KNU28_gp059,KEPCLCAE_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117692,KNU28_gp060,KNU28_gp060,KEPCLCAE_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117693,KNU28_gp061,KNU28_gp061,KEPCLCAE_00061,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210607,-
2479933,65117694,KNU28_gp062,KNU28_gp062,KEPCLCAE_00062,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210607,-
2479933,65117695,KNU28_gp063,KNU28_gp063,KEPCLCAE_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117696,KNU28_gp064,KNU28_gp064,KEPCLCAE_00064,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2479933,65117697,KNU28_gp065,KNU28_gp065,KEPCLCAE_00065,-,-,-,capsid assembly scaffolding protein,protein-coding,-,-,-,capsid assembly scaffolding protein,20210607,-
2479933,65117698,KNU28_gp066,KNU28_gp066,KEPCLCAE_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117699,KNU28_gp067,KNU28_gp067,KEPCLCAE_00067,-,-,-,prohead assembly protein,protein-coding,-,-,-,prohead assembly protein,20210607,-
2479933,65117700,KNU28_gp068,KNU28_gp068,KEPCLCAE_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117701,KNU28_gp069,KNU28_gp069,KEPCLCAE_00069,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2479933,65117702,KNU28_gp070,KNU28_gp070,KEPCLCAE_00070,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2479933,65117703,KNU28_gp071,KNU28_gp071,KEPCLCAE_00071,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2479933,65117704,KNU28_gp072,KNU28_gp072,KEPCLCAE_00072,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2479933,65117705,KNU28_gp073,KNU28_gp073,KEPCLCAE_00073,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2479933,65117706,KNU28_gp074,KNU28_gp074,KEPCLCAE_00074,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210607,-
2479933,65117707,KNU28_gp075,KNU28_gp075,KEPCLCAE_00075,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2479933,65117708,KNU28_gp076,KNU28_gp076,KEPCLCAE_00076,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2479933,65117709,KNU28_gp077,KNU28_gp077,KEPCLCAE_00077,-,-,-,fibritin,protein-coding,-,-,-,fibritin,20210607,-
2479933,65117710,KNU28_gp078,KNU28_gp078,KEPCLCAE_00078,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20210607,-
2479933,65117711,KNU28_gp079,KNU28_gp079,KEPCLCAE_00079,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2479933,65117712,KNU28_gp080,KNU28_gp080,KEPCLCAE_00080,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2479933,65117713,KNU28_gp081,KNU28_gp081,KEPCLCAE_00081,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210609,-
2479933,65117714,KNU28_gp082,KNU28_gp082,KEPCLCAE_00082,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2479933,65117715,KNU28_gp083,KNU28_gp083,KEPCLCAE_00083,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2479933,65117716,KNU28_gp084,KNU28_gp084,KEPCLCAE_00084,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2479933,65117717,KNU28_gp085,KNU28_gp085,KEPCLCAE_00085,-,-,-,putative 10.2 kDa protein,protein-coding,-,-,-,putative 10.2 kDa protein,20210607,-
2479933,65117718,KNU28_gp086,KNU28_gp086,KEPCLCAE_00086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117719,KNU28_gp087,KNU28_gp087,KEPCLCAE_00087,-,-,-,peptidoglycan hydrolase,protein-coding,-,-,-,peptidoglycan hydrolase,20210607,-
2479933,65117720,KNU28_gp088,KNU28_gp088,KEPCLCAE_00088,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2479933,65117721,KNU28_gp089,KNU28_gp089,KEPCLCAE_00089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117722,KNU28_gp090,KNU28_gp090,KEPCLCAE_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117723,KNU28_gp091,KNU28_gp091,KEPCLCAE_00091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117724,KNU28_gp092,KNU28_gp092,KEPCLCAE_00092,-,-,-,tail tube terminator protein,protein-coding,-,-,-,tail tube terminator protein,20210607,-
2479933,65117725,KNU28_gp093,KNU28_gp093,KEPCLCAE_00093,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210607,-
2479933,65117726,KNU28_gp094,KNU28_gp094,KEPCLCAE_00094,-,-,-,tail fiber assembly helper protein,protein-coding,-,-,-,tail fiber assembly helper protein,20210607,-
2479933,65117727,KNU28_gp095,KNU28_gp095,KEPCLCAE_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117728,KNU28_gp096,KNU28_gp096,KEPCLCAE_00096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117729,KNU28_gp097,KNU28_gp097,KEPCLCAE_00097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117730,KNU28_gp098,KNU28_gp098,KEPCLCAE_00098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117731,KNU28_gp099,KNU28_gp099,KEPCLCAE_00099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117732,KNU28_gp100,KNU28_gp100,KEPCLCAE_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117733,KNU28_gt001,KNU28_gt001,KEPCLCAE_00101,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2479933,65117734,KNU28_gp263,KNU28_gp263,KEPCLCAE_00102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117735,KNU28_gp262,KNU28_gp262,KEPCLCAE_00103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117736,KNU28_gp261,KNU28_gp261,KEPCLCAE_00104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117737,KNU28_gp260,KNU28_gp260,KEPCLCAE_00105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117738,KNU28_gp259,KNU28_gp259,KEPCLCAE_00106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117739,KNU28_gp258,KNU28_gp258,KEPCLCAE_00107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117740,KNU28_gp257,KNU28_gp257,KEPCLCAE_00108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117741,KNU28_gp256,KNU28_gp256,KEPCLCAE_00109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117742,KNU28_gp255,KNU28_gp255,KEPCLCAE_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117743,KNU28_gp254,KNU28_gp254,KEPCLCAE_00111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117744,KNU28_gp253,KNU28_gp253,KEPCLCAE_00112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117745,KNU28_gp252,KNU28_gp252,KEPCLCAE_00113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117746,KNU28_gp251,KNU28_gp251,KEPCLCAE_00114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117747,KNU28_gp250,KNU28_gp250,KEPCLCAE_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117748,KNU28_gp249,KNU28_gp249,KEPCLCAE_00116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117749,KNU28_gp248,KNU28_gp248,KEPCLCAE_00117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117750,KNU28_gp247,KNU28_gp247,KEPCLCAE_00118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117751,KNU28_gp246,KNU28_gp246,KEPCLCAE_00119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117752,KNU28_gp245,KNU28_gp245,KEPCLCAE_00120,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210607,-
2479933,65117753,KNU28_gp244,KNU28_gp244,KEPCLCAE_00121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117754,KNU28_gp243,KNU28_gp243,KEPCLCAE_00122,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20210607,-
2479933,65117755,KNU28_gp242,KNU28_gp242,KEPCLCAE_00123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117756,KNU28_gp241,KNU28_gp241,KEPCLCAE_00124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117757,KNU28_gp240,KNU28_gp240,KEPCLCAE_00125,-,-,-,internal protein III,protein-coding,-,-,-,internal protein III,20210607,-
2479933,65117758,KNU28_gp239,KNU28_gp239,KEPCLCAE_00126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117759,KNU28_gp238,KNU28_gp238,KEPCLCAE_00127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117760,KNU28_gp237,KNU28_gp237,KEPCLCAE_00128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117761,KNU28_gp236,KNU28_gp236,KEPCLCAE_00129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117762,KNU28_gp235,KNU28_gp235,KEPCLCAE_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117763,KNU28_gp234,KNU28_gp234,KEPCLCAE_00131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117764,KNU28_gp233,KNU28_gp233,KEPCLCAE_00132,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2479933,65117765,KNU28_gp232,KNU28_gp232,KEPCLCAE_00133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117766,KNU28_gp231,KNU28_gp231,KEPCLCAE_00134,-,-,-,valyl--tRNA ligase modifier,protein-coding,-,-,-,valyl--tRNA ligase modifier,20210607,-
2479933,65117767,KNU28_gp230,KNU28_gp230,KEPCLCAE_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117768,KNU28_gp229,KNU28_gp229,KEPCLCAE_00136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117769,KNU28_gp228,KNU28_gp228,KEPCLCAE_00137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117770,KNU28_gp227,KNU28_gp227,KEPCLCAE_00138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117771,KNU28_gp226,KNU28_gp226,KEPCLCAE_00139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117772,KNU28_gp225,KNU28_gp225,KEPCLCAE_00140,-,-,-,antiholin,protein-coding,-,-,-,antiholin,20210607,-
2479933,65117773,KNU28_gp224,KNU28_gp224,KEPCLCAE_00141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117774,KNU28_gp223,KNU28_gp223,KEPCLCAE_00142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117775,KNU28_gp222,KNU28_gp222,KEPCLCAE_00143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117776,KNU28_gp221,KNU28_gp221,KEPCLCAE_00144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117777,KNU28_gp220,KNU28_gp220,KEPCLCAE_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117778,KNU28_gp219,KNU28_gp219,KEPCLCAE_00146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117779,KNU28_gp218,KNU28_gp218,KEPCLCAE_00147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117780,KNU28_gp217,KNU28_gp217,KEPCLCAE_00148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117781,KNU28_gp216,KNU28_gp216,KEPCLCAE_00149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117782,KNU28_gp215,KNU28_gp215,KEPCLCAE_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117783,KNU28_gp214,KNU28_gp214,KEPCLCAE_00151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117784,KNU28_gp213,KNU28_gp213,KEPCLCAE_00152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117785,KNU28_gp212,KNU28_gp212,KEPCLCAE_00153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117786,KNU28_gp211,KNU28_gp211,KEPCLCAE_00154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117787,KNU28_gp210,KNU28_gp210,KEPCLCAE_00155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117788,KNU28_gp209,KNU28_gp209,KEPCLCAE_00156,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2479933,65117789,KNU28_gp208,KNU28_gp208,KEPCLCAE_00157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117790,KNU28_gp207,KNU28_gp207,KEPCLCAE_00158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117791,KNU28_gp206,KNU28_gp206,KEPCLCAE_00159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117792,KNU28_gp205,KNU28_gp205,KEPCLCAE_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117793,KNU28_gp204,KNU28_gp204,KEPCLCAE_00161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117794,KNU28_gp203,KNU28_gp203,KEPCLCAE_00162,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210607,-
2479933,65117795,KNU28_gp202,KNU28_gp202,KEPCLCAE_00163,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20210607,-
2479933,65117796,KNU28_gp201,KNU28_gp201,KEPCLCAE_00164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117797,KNU28_gp200,KNU28_gp200,KEPCLCAE_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117798,KNU28_gp199,KNU28_gp199,KEPCLCAE_00166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117799,KNU28_gp198,KNU28_gp198,KEPCLCAE_00167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117800,KNU28_gp197,KNU28_gp197,KEPCLCAE_00168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117801,KNU28_gp196,KNU28_gp196,KEPCLCAE_00169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117802,KNU28_gp195,KNU28_gp195,KEPCLCAE_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117803,KNU28_gp194,KNU28_gp194,KEPCLCAE_00171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117804,KNU28_gp193,KNU28_gp193,KEPCLCAE_00172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117805,KNU28_gp192,KNU28_gp192,KEPCLCAE_00173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
