#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1608310,26518986,3,AU156_gp286,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200910,-
1608310,26519001,24,AU156_gp256,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20200910,-
1608310,26519002,rnlB,AU156_gp255,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200910,-
1608310,26519003,24.3,AU156_gp253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519004,hoc,AU156_gp252,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200910,-
1608310,26519005,26,AU156_gp246,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200910,-
1608310,26519006,51,AU156_gp245,-,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20200910,-
1608310,26519007,28,AU156_gp243,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20200910,-
1608310,26519008,29,AU156_gp242,-,-,-,-,"baseplate hub subunit, tail length determinator",protein-coding,-,-,-,"baseplate hub subunit, tail length determinator",20200910,-
1608310,26519009,48,AU156_gp241,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200910,-
1608310,26519010,2,AU156_gp285,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200910,-
1608310,26519011,30.1,AU156_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519012,30.2,AU156_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519013,AU156_gp233,AU156_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519014,AU156_gp296,AU156_gp296,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519015,AU156_gp231,AU156_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519016,AU156_gp227,AU156_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519017,30.9,AU156_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519018,rIII,AU156_gp223,-,-,-,-,"rIII lysis inhibition accessory protein, rapid lysis phenotype",protein-coding,-,-,-,"rIII lysis inhibition accessory protein, rapid lysis phenotype",20200910,-
1608310,26519019,31.1,AU156_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519020,31.2,AU156_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519021,cd,AU156_gp219,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200910,-
1608310,26519022,59,AU156_gp185,-,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20200910,-
1608310,26519023,dsbA,AU156_gp183,-,-,-,-,"dsDNA binding protein, late transcription",protein-coding,-,-,-,"dsDNA binding protein, late transcription",20200910,-
1608310,26519024,35,AU156_gp180,-,-,-,-,"hinge connector of long tail fiber, proximal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, proximal connector",20200910,-
1608310,26519025,36,AU156_gp179,-,-,-,-,"hinge connector of long tail fiber, distal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, distal connector",20200910,-
1608310,26519026,37,AU156_gp178,-,-,-,-,"long tail fiber, distal subunit",protein-coding,-,-,-,"long tail fiber, distal subunit",20200910,-
1608310,26519027,38,AU156_gp177,-,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20200910,-
1608310,26519028,t,AU156_gp176,-,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20200910,-
1608310,26519029,hoc,AU156_gp006,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20200910,-
1608310,26519030,AU156_gp009,AU156_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519031,53,AU156_gp283,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1608310,26519032,uvsX,AU156_gp039,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20200910,-
1608310,26519033,40,AU156_gp038,-,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20200910,-
1608310,26519034,AU156_gp043,AU156_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519035,AU156_gp052,AU156_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519036,45,AU156_gp056,-,-,-,-,"sliding clamp, DNA polymerase accessory protein",protein-coding,-,-,-,"sliding clamp, DNA polymerase accessory protein",20200910,-
1608310,26519037,rpbA,AU156_gp057,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200910,-
1608310,26519038,46,AU156_gp059,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200910,-
1608310,26519039,AU156_gp060,AU156_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519040,54,AU156_gp240,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200910,-
1608310,26519041,pin,AU156_gp080,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20200910,-
1608310,26519042,49.3,AU156_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519043,AU156_gp083,AU156_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519044,5.1,AU156_gp281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519045,5.4,AU156_gp280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519046,6,AU156_gp279,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1608310,26519047,27,AU156_gp244,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200910,-
1608310,26519048,AU156_gp162,AU156_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519049,5,AU156_gp282,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200910,-
1608310,26519050,alt.-3,AU156_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519051,AU156_gp067,AU156_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519052,AU156_gp070,AU156_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519053,AU156_gp073,AU156_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519054,AU156_gp078,AU156_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519055,AU156_gp028,AU156_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519056,1,AU156_gp287,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200910,-
1608310,26519057,57A,AU156_gp288,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200910,-
1608310,26519058,mobE,AU156_gp030,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
1608310,26519059,33,AU156_gp184,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200910,-
1608310,26519060,7,AU156_gp278,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200910,-
1608310,26519061,AU156_gp032,AU156_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519062,AU156_gp034,AU156_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519063,44,AU156_gp055,-,-,-,-,"clamp loader subunit, DNA polymerase accessory protein",protein-coding,-,-,-,"clamp loader subunit, DNA polymerase accessory protein",20200910,-
1608310,26519064,68,AU156_gp260,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200910,-
1608310,26519065,21,AU156_gp259,-,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20200910,-
1608310,26519066,8,AU156_gp277,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1608310,26519067,AU156_gp276,AU156_gp276,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519068,10,AU156_gp273,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200910,-
1608310,26519069,a-gt.3,AU156_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519070,a-gt.4,AU156_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519071,a-gt.5,AU156_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519072,55,AU156_gp066,-,-,-,-,sigma factor for T4 late transcription,protein-coding,-,-,-,sigma factor for T4 late transcription,20200910,-
1608310,26519073,rnlA,AU156_gp208,-,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20200910,-
1608310,26519074,alt.1,AU156_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519075,alt,AU156_gp238,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20200910,-
1608310,26519076,30,AU156_gp236,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1608310,26519077,arn.4,AU156_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519078,AU156_gp168,AU156_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519079,AU156_gp174,AU156_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519080,AU156_gp218,AU156_gp218,-,-,-,-,phospho-2-dehydro-3-deoxyheptonate aldolase,protein-coding,-,-,-,phospho-2-dehydro-3-deoxyheptonate aldolase,20200910,-
1608310,26519081,cd.3,AU156_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519082,AU156_gp215,AU156_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519083,motB,AU156_gp013,-,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20200910,-
1608310,26519084,dda.1,AU156_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519085,srd,AU156_gp019,-,-,-,-,"anti-sigma factor, putative",protein-coding,-,-,-,"anti-sigma factor, putative",20200910,-
1608310,26519086,nrdB,AU156_gp206,-,-,-,-,"aerobic NDP reductase, small subunit",protein-coding,-,-,-,"aerobic NDP reductase, small subunit",20200910,-
1608310,26519087,AU156_gp153,AU156_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519088,rIIB,AU156_gp151,-,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20200910,-
1608310,26519089,AU156_gp126,AU156_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519090,AU156_gp016,AU156_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519091,rnh,AU156_gp182,-,-,-,-,RNaseH ribonuclease,protein-coding,-,-,-,RNaseH ribonuclease,20200910,-
1608310,26519092,nudE,AU156_gp129,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20200910,-
1608310,26519093,e.6,AU156_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519094,AU156_gp145,AU156_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519095,AU156_gp150,AU156_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519096,AU156_gp196,AU156_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519097,AU156_gp191,AU156_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519098,AU156_gp188,AU156_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519099,32,AU156_gp186,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200910,-
1608310,26519100,cef,AU156_gp012,-,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20200910,-
1608310,26519101,a-gt.2,AU156_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519102,AU156_gp007,AU156_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519103,inh,AU156_gp251,-,-,-,-,inhibitor of prohead protease gp21,protein-coding,-,-,-,inhibitor of prohead protease gp21,20200910,-
1608310,26519104,uvsW,AU156_gp250,-,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",protein-coding,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",20200910,-
1608310,26519105,57B,AU156_gp289,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519106,61.1,AU156_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519107,modA.3,AU156_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519108,AU156_gp023,AU156_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519109,modA.2,AU156_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519110,AU156_gp166,AU156_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519111,52,AU156_gp163,-,-,-,-,"topoisomerase II, medium subunit",protein-coding,-,-,-,"topoisomerase II, medium subunit",20200910,-
1608310,26519112,motB.2,AU156_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519113,dexA,AU156_gp015,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20200910,-
1608310,26519114,AU156_gp159,AU156_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519115,e.7,AU156_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519116,AU156_gp155,AU156_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519117,nrdA.1,AU156_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519118,AU156_gp201,AU156_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519119,AU156_gp205,AU156_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519120,nrdC.1,AU156_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519121,AU156_gp086,AU156_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519122,AU156_gp098,AU156_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519123,AU156_gp102,AU156_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519124,AU156_gp089,AU156_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519125,AU156_gp094,AU156_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519126,AU156_gp076,AU156_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519127,AU156_gp130,AU156_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519128,49.1,AU156_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519129,AU156_gp213,AU156_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519130,pseT.3,AU156_gp210,-,-,-,-,conserved hypothetical predicted membrane protein,protein-coding,-,-,-,conserved hypothetical predicted membrane protein,20200910,-
1608310,26519131,alc,AU156_gp209,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20200910,-
1608310,26519132,62,AU156_gp054,-,-,-,-,"clamp loader subunit, DNA polymerase accessory protein",protein-coding,-,-,-,"clamp loader subunit, DNA polymerase accessory protein",20200910,-
1608310,26519133,vs.3,AU156_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519134,rI.1,AU156_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519135,AU156_gp113,AU156_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519136,rIIA.1,AU156_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519137,AU156_gp003,AU156_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519138,31,AU156_gp222,-,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20200910,-
1608310,26519139,34,AU156_gp181,-,-,-,-,"long tail fiber, proximal subunit",protein-coding,-,-,-,"long tail fiber, proximal subunit",20200910,-
1608310,26519140,denA,AU156_gp207,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20200910,-
1608310,26519141,24.2,AU156_gp254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519142,45.2,AU156_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519143,AU156_gp046,AU156_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519144,56,AU156_gp027,-,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20200910,-
1608310,26519145,modB,AU156_gp020,-,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200910,-
1608310,26519146,asiA,AU156_gp175,-,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20200910,-
1608310,26519147,AU156_gp199,AU156_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519148,tk.1,AU156_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519149,AU156_gp116,AU156_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519150,vs,AU156_gp118,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200910,-
1608310,26519151,trna.3,AU156_gp294,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519152,AU156_gp293,AU156_gp293,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519153,AU156_gp291,AU156_gp291,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519154,uvsY.-2,AU156_gp249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519155,AU156_gp040,AU156_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519156,25,AU156_gp247,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1608310,26519157,uvsY,AU156_gp248,-,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20200910,-
1608310,26519158,vs.1,AU156_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519159,regB,AU156_gp120,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20200910,-
1608310,26519160,vs.4,AU156_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519161,AU156_gp123,AU156_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519162,denV,AU156_gp125,-,-,-,-,"endonuclease V, N-glycosylase UV repair enzyme",protein-coding,-,-,-,"endonuclease V, N-glycosylase UV repair enzyme",20200910,-
1608310,26519163,13,AU156_gp269,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200910,-
1608310,26519164,AU156_gt002,AU156_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1608310,26519165,AU156_gt003,AU156_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1608310,26519166,AU156_gp299,AU156_gp299,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519167,AU156_gp298,AU156_gp298,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519168,AU156_gt006,AU156_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1608310,26519169,trna.2,AU156_gp295,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519170,AU156_gp004,AU156_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519171,39,AU156_gp005,-,-,-,-,"topoisomerase II, large subunit, N-terminal region",protein-coding,-,-,-,"topoisomerase II, large subunit, N-terminal region",20200910,-
1608310,26519172,39.1,AU156_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519173,AU156_gp010,AU156_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519174,goF,AU156_gp011,-,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20200910,-
1608310,26519175,dda,AU156_gp017,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1608310,26519176,AU156_gp024,AU156_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519177,AU156_gp025,AU156_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519178,soc,AU156_gp026,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20200910,-
1608310,26519179,58=61,AU156_gp029,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200910,-
1608310,26519180,61.4,AU156_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519181,AU156_gp035,AU156_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519182,AU156_gp036,AU156_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519183,41,AU156_gp037,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200910,-
1608310,26519184,AU156_gp041,AU156_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519185,42,AU156_gp042,-,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20200910,-
1608310,26519186,AU156_gp044,AU156_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519187,segC,AU156_gp045,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
