#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686469,60329458,2,I5H46_gp002,SEA_HEGEDECHWINU_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2686469,60329489,34,I5H46_gp034,SEA_HEGEDECHWINU_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2686469,60329490,35,I5H46_gp035,SEA_HEGEDECHWINU_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329491,36,I5H46_gp036,SEA_HEGEDECHWINU_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201129,-
2686469,60329492,37,I5H46_gp037,SEA_HEGEDECHWINU_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329493,39,I5H46_gp039,SEA_HEGEDECHWINU_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329494,40,I5H46_gp040,SEA_HEGEDECHWINU_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329495,42,I5H46_gp042,SEA_HEGEDECHWINU_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329496,43,I5H46_gp043,SEA_HEGEDECHWINU_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329497,46,I5H46_gp046,SEA_HEGEDECHWINU_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210306,-
2686469,60329498,47,I5H46_gp047,SEA_HEGEDECHWINU_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329499,48,I5H46_gp048,SEA_HEGEDECHWINU_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329500,49,I5H46_gp049,SEA_HEGEDECHWINU_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329501,50,I5H46_gp050,SEA_HEGEDECHWINU_50,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2686469,60329502,51,I5H46_gp051,SEA_HEGEDECHWINU_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329503,52,I5H46_gp052,SEA_HEGEDECHWINU_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329504,54,I5H46_gp054,SEA_HEGEDECHWINU_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329505,55,I5H46_gp055,SEA_HEGEDECHWINU_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329506,56,I5H46_gp056,SEA_HEGEDECHWINU_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2686469,60329507,57,I5H46_gp057,SEA_HEGEDECHWINU_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210313,-
2686469,60329508,58,I5H46_gp058,SEA_HEGEDECHWINU_58,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2686469,60329509,59,I5H46_gp059,SEA_HEGEDECHWINU_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210123,-
2686469,60329510,60,I5H46_gp060,SEA_HEGEDECHWINU_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210306,-
2686469,60329511,61,I5H46_gp061,SEA_HEGEDECHWINU_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329512,62,I5H46_gp062,SEA_HEGEDECHWINU_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329513,63,I5H46_gp063,SEA_HEGEDECHWINU_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329514,64,I5H46_gp064,SEA_HEGEDECHWINU_64,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210129,-
2686469,60329515,65,I5H46_gp065,SEA_HEGEDECHWINU_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2686469,60329516,66,I5H46_gp066,SEA_HEGEDECHWINU_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2686469,60329517,67,I5H46_gp067,SEA_HEGEDECHWINU_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329518,68,I5H46_gp068,SEA_HEGEDECHWINU_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329519,69,I5H46_gp069,SEA_HEGEDECHWINU_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329520,70,I5H46_gp070,SEA_HEGEDECHWINU_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329521,71,I5H46_gp071,SEA_HEGEDECHWINU_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329522,72,I5H46_gp072,SEA_HEGEDECHWINU_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329523,73,I5H46_gp073,SEA_HEGEDECHWINU_73,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2686469,60329524,74,I5H46_gp074,SEA_HEGEDECHWINU_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329525,76,I5H46_gp076,SEA_HEGEDECHWINU_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329526,77,I5H46_gp077,SEA_HEGEDECHWINU_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329527,78,I5H46_gp078,SEA_HEGEDECHWINU_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329528,79,I5H46_gp079,SEA_HEGEDECHWINU_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329529,81,I5H46_gp081,SEA_HEGEDECHWINU_81,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2686469,60329530,82,I5H46_gp082,SEA_HEGEDECHWINU_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329531,83,I5H46_gp083,SEA_HEGEDECHWINU_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329532,84,I5H46_gp084,SEA_HEGEDECHWINU_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329533,85,I5H46_gp085,SEA_HEGEDECHWINU_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329534,86,I5H46_gp086,SEA_HEGEDECHWINU_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329535,87,I5H46_gp087,SEA_HEGEDECHWINU_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329536,88,I5H46_gp088,SEA_HEGEDECHWINU_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329537,89,I5H46_gp089,SEA_HEGEDECHWINU_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329538,90,I5H46_gp090,SEA_HEGEDECHWINU_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2686469,60329539,91,I5H46_gp091,SEA_HEGEDECHWINU_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329540,92,I5H46_gp092,SEA_HEGEDECHWINU_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329541,94,I5H46_gp094,SEA_HEGEDECHWINU_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329542,95,I5H46_gp095,SEA_HEGEDECHWINU_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329543,96,I5H46_gp096,SEA_HEGEDECHWINU_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329544,98,I5H46_gp098,SEA_HEGEDECHWINU_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329545,99,I5H46_gp099,SEA_HEGEDECHWINU_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329546,100,I5H46_gp100,SEA_HEGEDECHWINU_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329547,101,I5H46_gp101,SEA_HEGEDECHWINU_101,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210123,-
2686469,60329548,102,I5H46_gp102,SEA_HEGEDECHWINU_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329549,103,I5H46_gp103,SEA_HEGEDECHWINU_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329550,104,I5H46_gp104,SEA_HEGEDECHWINU_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329551,105,I5H46_gp105,SEA_HEGEDECHWINU_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329552,107,I5H46_gp107,SEA_HEGEDECHWINU_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329553,108,I5H46_gp108,SEA_HEGEDECHWINU_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329554,109,I5H46_gp109,SEA_HEGEDECHWINU_109,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210123,-
2686469,60329555,111,I5H46_gp111,SEA_HEGEDECHWINU_111,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210306,-
2686469,60329556,112,I5H46_gp112,SEA_HEGEDECHWINU_112,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210123,-
2686469,60329557,97,I5H46_gp097,SEA_HEGEDECHWINU_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329558,110,I5H46_gp110,SEA_HEGEDECHWINU_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329559,80,I5H46_gp080,SEA_HEGEDECHWINU_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329560,106,I5H46_gp106,SEA_HEGEDECHWINU_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329561,29,I5H46_gp029,SEA_HEGEDECHWINU_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329562,45,I5H46_gp045,SEA_HEGEDECHWINU_45,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2686469,60329563,44,I5H46_gp044,SEA_HEGEDECHWINU_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2686469,60329564,53,I5H46_gp053,SEA_HEGEDECHWINU_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329565,75,I5H46_gp075,SEA_HEGEDECHWINU_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329566,93,I5H46_gp093,SEA_HEGEDECHWINU_93,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210123,-
2686469,60329567,38,I5H46_gp038,SEA_HEGEDECHWINU_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686469,60329568,41,I5H46_gp041,SEA_HEGEDECHWINU_41,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210306,-
2686469,60329569,1,I5H46_gp001,SEA_HEGEDECHWINU_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
2686469,60338823,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
