#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327956,16835846,P766_gp002,P766_gp002,Ec2_002,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210129,-
1327956,16835876,P766_gp032,P766_gp032,Ec2_0032,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1327956,16835877,P766_gp033,P766_gp033,Ec2_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835878,P766_gp034,P766_gp034,Ec2_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835879,P766_gp035,P766_gp035,Ec2_0035,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20200629,-
1327956,16835880,P766_gp036,P766_gp036,Ec2_0036,-,-,-,putative phage host specificity protein,protein-coding,-,-,-,putative phage host specificity protein,20200629,-
1327956,16835881,P766_gp037,P766_gp037,Ec2_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835882,P766_gp038,P766_gp038,Ec2_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835883,P766_gp039,P766_gp039,Ec2_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835884,P766_gp040,P766_gp040,Ec2_0040,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1327956,16835885,P766_gp041,P766_gp041,Ec2_0041,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20200629,-
1327956,16835886,P766_gp042,P766_gp042,Ec2_0042,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210129,-
1327956,16835887,P766_gp043,P766_gp043,Ec2_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835888,P766_gp044,P766_gp044,Ec2_0044,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20210129,-
1327956,16835889,P766_gp045,P766_gp045,Ec2_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835890,P766_gp046,P766_gp046,Ec2_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835891,P766_gp047,P766_gp047,Ec2_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835892,P766_gp048,P766_gp048,Ec2_0048,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200629,-
1327956,16835893,P766_gp049,P766_gp049,Ec2_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835894,P766_gp050,P766_gp050,Ec2_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835895,P766_gp051,P766_gp051,Ec2_0051,-,-,-,DUF3277 family protein,protein-coding,-,-,-,DUF3277 family protein,20210123,-
1327956,16835896,P766_gp052,P766_gp052,Ec2_0052,-,-,-,putative phage stuctural protein,protein-coding,-,-,-,putative phage stuctural protein,20200629,-
1327956,16835897,P766_gp053,P766_gp053,Ec2_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835898,P766_gp054,P766_gp054,Ec2_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835899,P766_gp055,P766_gp055,Ec2_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835900,P766_gp056,P766_gp056,Ec2_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835901,P766_gp057,P766_gp057,Ec2_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835902,P766_gp058,P766_gp058,Ec2_0058,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201026,-
1327956,16835903,P766_gp059,P766_gp059,Ec2_0059,-,-,-,putative head stabilization/decoration protein,protein-coding,-,-,-,putative head stabilization/decoration protein,20200629,-
1327956,16835904,P766_gp060,P766_gp060,Ec2_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835905,P766_gp061,P766_gp061,Ec2_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835906,P766_gp062,P766_gp062,Ec2_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835907,P766_gp063,P766_gp063,Ec2_0063,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20210417,-
1327956,16835908,P766_gp064,P766_gp064,Ec2_0064,-,-,-,putative recombinase endonuclease,protein-coding,-,-,-,putative recombinase endonuclease,20200629,-
1327956,16835909,P766_gp065,P766_gp065,Ec2_0065,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20210123,-
1327956,16835910,P766_gp066,P766_gp066,Ec2_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835911,P766_gp067,P766_gp067,Ec2_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835912,P766_gp068,P766_gp068,Ec2_0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835913,P766_gt001,P766_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1327956,16835914,P766_gp070,P766_gp070,Ec2_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835915,P766_gp071,P766_gp071,Ec2_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835916,P766_gp072,P766_gp072,Ec2_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835917,P766_gp073,P766_gp073,Ec2_0073,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
1327956,16835918,P766_gp074,P766_gp074,Ec2_0074,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200629,-
1327956,16835919,P766_gp075,P766_gp075,Ec2_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835920,P766_gp076,P766_gp076,Ec2_0076,-,-,-,putative RNA ligase and tail attachment protein,protein-coding,-,-,-,putative RNA ligase and tail attachment protein,20200629,-
1327956,16835921,P766_gp077,P766_gp077,Ec2_0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835922,P766_gp078,P766_gp078,Ec2_0078,-,-,-,putative Sir2-like protein (NAD-dependent deacetylase),protein-coding,-,-,-,putative Sir2-like protein (NAD-dependent deacetylase),20200629,-
1327956,16835923,P766_gp079,P766_gp079,Ec2_0079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835924,P766_gp080,P766_gp080,Ec2_0080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835925,P766_gp081,P766_gp081,Ec2_0081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835926,P766_gp082,P766_gp082,Ec2_0082,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20200629,-
1327956,16835927,P766_gp083,P766_gp083,Ec2_0083,-,-,-,glycoside hydrolase family 104 protein,protein-coding,-,-,-,glycoside hydrolase family 104 protein,20201221,-
1327956,16835928,P766_gp084,P766_gp084,Ec2_0084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835929,P766_gp085,P766_gp085,Ec2_0085,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1327956,16835930,P766_gp086,P766_gp086,Ec2_0086,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20200629,-
1327956,16835931,P766_gp087,P766_gp087,Ec2_0087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835932,P766_gp088,P766_gp088,Ec2_0088,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200629,-
1327956,16835933,P766_gp089,P766_gp089,Ec2_0089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835934,P766_gp090,P766_gp090,Ec2_0090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835935,P766_gp091,P766_gp091,Ec2_0091,-,-,-,putative Endo VII packaging and recombination endonuclease,protein-coding,-,-,-,putative Endo VII packaging and recombination endonuclease,20200629,-
1327956,16835936,P766_gp092,P766_gp092,Ec2_0092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835937,P766_gp093,P766_gp093,Ec2_0093,-,-,-,putative DNA polymerase/exonuclease,protein-coding,-,-,-,putative DNA polymerase/exonuclease,20200629,-
1327956,16835938,P766_gp094,P766_gp094,Ec2_0094,-,-,-,putative DNA N6-adenine methyltransferase,protein-coding,-,-,-,putative DNA N6-adenine methyltransferase,20200629,-
1327956,16835939,P766_gp095,P766_gp095,Ec2_0095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835940,P766_gp096,P766_gp096,Ec2_0096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835941,P766_gp097,P766_gp097,Ec2_0097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835942,P766_gp098,P766_gp098,Ec2_0098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835943,P766_gp099,P766_gp099,Ec2_0099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835944,P766_gp100,P766_gp100,Ec2_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835945,P766_gp101,P766_gp101,Ec2_00101,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200629,-
1327956,16835946,P766_gp102,P766_gp102,Ec2_00102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835947,P766_gp103,P766_gp103,Ec2_00103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835948,P766_gp104,P766_gp104,Ec2_00104,-,-,-,putative ribonucleotide triphosphate reductase alpha chain,protein-coding,-,-,-,putative ribonucleotide triphosphate reductase alpha chain,20200629,-
1327956,16835949,P766_gp105,P766_gp105,Ec2_00105,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20201221,-
1327956,16835950,P766_gp106,P766_gp106,Ec2_00106,-,-,-,putative glutaredoxin 1,protein-coding,-,-,-,putative glutaredoxin 1,20210129,-
1327956,16835951,P766_gp107,P766_gp107,Ec2_00107,-,-,-,putative anaerobic ribonucleoside-triposphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triposphate reductase,20200629,-
1327956,16835952,P766_gp108,P766_gp108,Ec2_00108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835953,P766_gp109,P766_gp109,Ec2_00109,-,-,-,anaerobic ribonucleoside-triphosphate reductase activating protein,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase activating protein,20201221,-
1327956,16835954,P766_gp110,P766_gp110,Ec2_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835955,P766_gp111,P766_gp111,Ec2_00111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835956,P766_gp112,P766_gp112,Ec2_00112,-,-,-,PhoH family protein,protein-coding,-,-,-,PhoH family protein,20210129,-
1327956,16835957,P766_gp113,P766_gp113,Ec2_00113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835958,P766_gp114,P766_gp114,Ec2_00114,-,-,-,putative ClpP ATP-dependent protease subunit,protein-coding,-,-,-,putative ClpP ATP-dependent protease subunit,20210417,-
1327956,16835959,P766_gp115,P766_gp115,Ec2_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835960,P766_gp116,P766_gp116,Ec2_00116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835961,P766_gp117,P766_gp117,Ec2_00117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835962,P766_gp118,P766_gp118,Ec2_00118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835963,P766_gp119,P766_gp119,Ec2_00119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835964,P766_gp120,P766_gp120,Ec2_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835965,P766_gp121,P766_gp121,Ec2_00121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835966,P766_gp122,P766_gp122,Ec2_00122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835967,P766_gp123,P766_gp123,Ec2_00123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835968,P766_gp124,P766_gp124,Ec2_00124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835969,P766_gp125,P766_gp125,Ec2_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835970,P766_gp126,P766_gp126,Ec2_00126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835971,P766_gp127,P766_gp127,Ec2_00127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835972,P766_gp128,P766_gp128,Ec2_00128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835973,P766_gp129,P766_gp129,Ec2_00129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835974,P766_gp130,P766_gp130,Ec2_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835975,P766_gp131,P766_gp131,Ec2_00131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835976,P766_gp132,P766_gp132,Ec2_00132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835977,P766_gp133,P766_gp133,Ec2_00133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835978,P766_gp134,P766_gp134,Ec2_00134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835979,P766_gp135,P766_gp135,Ec2_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835980,P766_gp136,P766_gp136,Ec2_00136,-,-,-,putative sigma 54 modulation factor,protein-coding,-,-,-,putative sigma 54 modulation factor,20200629,-
1327956,16835981,P766_gp137,P766_gp137,Ec2_00137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835982,P766_gp138,P766_gp138,Ec2_00138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1327956,16835983,P766_gp139,P766_gp139,Ec2_00139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835984,P766_gp140,P766_gp140,Ec2_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835985,P766_gp141,P766_gp141,Ec2_00141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835986,P766_gp142,P766_gp142,Ec2_00142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835987,P766_gp143,P766_gp143,Ec2_00143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835988,P766_gp144,P766_gp144,Ec2_00144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835989,P766_gp145,P766_gp145,Ec2_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835990,P766_gp146,P766_gp146,Ec2_00146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835991,P766_gp147,P766_gp147,Ec2_00147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835992,P766_gp148,P766_gp148,Ec2_00148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835993,P766_gp149,P766_gp149,Ec2_00149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835994,P766_gp150,P766_gp150,Ec2_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835995,P766_gp151,P766_gp151,Ec2_00151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835996,P766_gp152,P766_gp152,Ec2_00152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835997,P766_gp153,P766_gp153,Ec2_00153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835998,P766_gp154,P766_gp154,Ec2_00154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16835999,P766_gp155,P766_gp155,Ec2_00155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836000,P766_gp156,P766_gp156,Ec2_00156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836001,P766_gp157,P766_gp157,Ec2_00157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836002,P766_gp158,P766_gp158,Ec2_00158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836003,P766_gp159,P766_gp159,Ec2_00159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836004,P766_gp160,P766_gp160,Ec2_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836005,P766_gp161,P766_gp161,Ec2_00161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836006,P766_gp162,P766_gp162,Ec2_00162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836007,P766_gp163,P766_gp163,Ec2_00163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836008,P766_gp164,P766_gp164,Ec2_00164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836009,P766_gp165,P766_gp165,Ec2_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836010,P766_gp166,P766_gp166,Ec2_00166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836011,P766_gp167,P766_gp167,Ec2_00167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836012,P766_gp168,P766_gp168,Ec2_00168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836013,P766_gp169,P766_gp169,Ec2_00169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836014,P766_gp170,P766_gp170,Ec2_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836015,P766_gp171,P766_gp171,Ec2_00171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836016,P766_gp172,P766_gp172,Ec2_00172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836017,P766_gp173,P766_gp173,Ec2_00173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836018,P766_gp174,P766_gp174,Ec2_00174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836019,P766_gp175,P766_gp175,Ec2_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836020,P766_gp176,P766_gp176,Ec2_00176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836021,P766_gp177,P766_gp177,Ec2_00177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836022,P766_gp178,P766_gp178,Ec2_00178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836023,P766_gp179,P766_gp179,Ec2_00179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836024,P766_gp180,P766_gp180,Ec2_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836025,P766_gp181,P766_gp181,Ec2_00181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836026,P766_gp182,P766_gp182,Ec2_00182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836027,P766_gp183,P766_gp183,Ec2_00183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836028,P766_gp184,P766_gp184,Ec2_00184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836029,P766_gp185,P766_gp185,Ec2_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836030,P766_gp186,P766_gp186,Ec2_00186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836031,P766_gp187,P766_gp187,Ec2_00187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836032,P766_gp188,P766_gp188,Ec2_00188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836033,P766_gp189,P766_gp189,Ec2_00189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836034,P766_gp190,P766_gp190,Ec2_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
