#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419971,55006355,2,HOU45_gp02,PBI_ARMSTRONG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2419971,55006387,37,HOU45_gp37,PBI_ARMSTRONG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006388,38,HOU45_gp38,PBI_ARMSTRONG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006389,39,HOU45_gp39,PBI_ARMSTRONG_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2419971,55006390,40,HOU45_gp40,PBI_ARMSTRONG_40,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
2419971,55006391,41,HOU45_gp41,PBI_ARMSTRONG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006392,42,HOU45_gp42,PBI_ARMSTRONG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006393,43,HOU45_gp43,PBI_ARMSTRONG_43,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210403,-
2419971,55006394,44,HOU45_gp44,PBI_ARMSTRONG_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006395,45,HOU45_gp45,PBI_ARMSTRONG_45,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210403,-
2419971,55006396,46,HOU45_gp46,PBI_ARMSTRONG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006397,47,HOU45_gp47,PBI_ARMSTRONG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006398,48,HOU45_gp48,PBI_ARMSTRONG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006399,49,HOU45_gp49,PBI_ARMSTRONG_49,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2419971,55006400,50,HOU45_gp50,PBI_ARMSTRONG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006401,51,HOU45_gp51,PBI_ARMSTRONG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006402,52,HOU45_gp52,PBI_ARMSTRONG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006403,53,HOU45_gp53,PBI_ARMSTRONG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006404,54,HOU45_gp54,PBI_ARMSTRONG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006405,55,HOU45_gp55,PBI_ARMSTRONG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006406,56,HOU45_gp56,PBI_ARMSTRONG_56,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210403,-
2419971,55006407,57,HOU45_gp57,PBI_ARMSTRONG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006408,58,HOU45_gp58,PBI_ARMSTRONG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006409,59,HOU45_gp59,PBI_ARMSTRONG_59,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2419971,55006410,60,HOU45_gp60,PBI_ARMSTRONG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006411,61,HOU45_gp61,PBI_ARMSTRONG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006412,62,HOU45_gp62,PBI_ARMSTRONG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006413,63,HOU45_gp63,PBI_ARMSTRONG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006414,64,HOU45_gp64,PBI_ARMSTRONG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006415,65,HOU45_gp65,PBI_ARMSTRONG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006416,66,HOU45_gp66,PBI_ARMSTRONG_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006417,67,HOU45_gp67,PBI_ARMSTRONG_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006418,68,HOU45_gt01,PBI_ARMSTRONG_68,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2419971,55006419,69,HOU45_gt02,PBI_ARMSTRONG_69,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2419971,55006420,70,HOU45_gp68,PBI_ARMSTRONG_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2419971,55006421,15,HOU45_gp15,PBI_ARMSTRONG_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419971,55006422,28,HOU45_gp28,PBI_ARMSTRONG_28,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210403,-
2419971,55006423,14,HOU45_gp14,PBI_ARMSTRONG_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419971,55006424,1,HOU45_gp01,PBI_ARMSTRONG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2419971,55154230,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
