#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2169687,16836071,P748_gp002,P748_gp002,-,-,-,-,NrdA.1 conserved hypothetical protein,protein-coding,-,-,-,NrdA.1 conserved hypothetical protein,20210529,-
2169687,16836084,P748_gp015,P748_gp015,-,-,-,-,ribonucleotide-diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleotide-diphosphate reductase alpha subunit,20200629,-
2169687,16836085,P748_gp016,P748_gp016,-,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,20210212,-
2169687,16836086,P748_gp017,P748_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836087,P748_gp018,P748_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836088,P748_gp019,P748_gp019,-,-,-,-,putative Gp25 baseplate wedge subunit,protein-coding,-,-,-,putative Gp25 baseplate wedge subunit,20200629,-
2169687,16836089,P748_gp020,P748_gp020,-,-,-,-,Gp5 baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,Gp5 baseplate hub subunit and tail lysozyme,20200629,-
2169687,16836090,P748_gp021,P748_gp021,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
2169687,16836091,P748_gp022,P748_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836092,P748_gp023,P748_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836093,P748_gp024,P748_gp024,-,-,-,-,putative Holliday junction resolvase RuvC,protein-coding,-,-,-,putative Holliday junction resolvase RuvC,20210529,-
2169687,16836094,P748_gp025,P748_gp025,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210529,-
2169687,16836095,P748_gp026,P748_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836096,P748_gp027,P748_gp027,-,-,-,-,baseplate tail tube,protein-coding,-,-,-,baseplate tail tube,20200629,-
2169687,16836097,P748_gp028,P748_gp028,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200629,-
2169687,16836098,P748_gp029,P748_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836099,P748_gp030,P748_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836100,P748_gp031,P748_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836101,P748_gp032,P748_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836102,P748_gp033,P748_gp033,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200629,-
2169687,16836103,P748_gp034,P748_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836104,P748_gp035,P748_gp035,-,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210212,-
2169687,16836105,P748_gp036,P748_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836106,P748_gp037,P748_gp037,-,-,-,-,UvsX RecA-like recombination protein,protein-coding,-,-,-,UvsX RecA-like recombination protein,20200629,-
2169687,16836107,P748_gp038,P748_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836108,P748_gp039,P748_gp039,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200629,-
2169687,16836109,P748_gp040,P748_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836110,P748_gp041,P748_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836111,P748_gp042,P748_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836112,P748_gp043,P748_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836113,P748_gp044,P748_gp044,-,-,-,-,loader of T4-like helicase,protein-coding,-,-,-,loader of T4-like helicase,20200629,-
2169687,16836114,P748_gp045,P748_gp045,-,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200629,-
2169687,16836115,P748_gp046,P748_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836116,P748_gp047,P748_gp047,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210212,-
2169687,16836117,P748_gp048,P748_gp048,-,-,-,-,T4-like baseplate tail tube cap,protein-coding,-,-,-,T4-like baseplate tail tube cap,20200629,-
2169687,16836118,P748_gp049,P748_gp049,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200629,-
2169687,16836119,P748_gp050,P748_gp050,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200629,-
2169687,16836120,P748_gp051,P748_gp051,-,-,-,-,Cd allosteric enzyme,protein-coding,-,-,-,Cd allosteric enzyme,20210212,-
2169687,16836121,P748_gp052,P748_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836122,P748_gp053,P748_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836123,P748_gp054,P748_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836124,P748_gp055,P748_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836125,P748_gp056,P748_gp056,-,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210529,-
2169687,16836126,P748_gp057,P748_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836127,P748_gp058,P748_gp058,-,-,-,-,DexA exonuclease,protein-coding,-,-,-,DexA exonuclease,20210212,-
2169687,16836128,P748_gp059,P748_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2169687,16836129,P748_gp060,P748_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836130,P748_gp061,P748_gp061,-,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20200629,-
2169687,16836131,P748_gp062,P748_gp062,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20200629,-
2169687,16836132,P748_gp063,P748_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836133,P748_gp064,P748_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836134,P748_gp065,P748_gp065,-,-,-,-,putative histone-like protein,protein-coding,-,-,-,putative histone-like protein,20200629,-
2169687,16836135,P748_gp066,P748_gp066,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
2169687,16836136,P748_gp067,P748_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836137,P748_gp068,P748_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836138,P748_gp069,P748_gp069,-,-,-,-,RIIB Protector from prophage-induced early lysis,protein-coding,-,-,-,RIIB Protector from prophage-induced early lysis,20200629,-
2169687,16836139,P748_gp070,P748_gp070,-,-,-,-,RIIA protector from prophage-induced early lysis,protein-coding,-,-,-,RIIA protector from prophage-induced early lysis,20200629,-
2169687,16836140,P748_gp071,P748_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836141,P748_gp072,P748_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836142,P748_gp073,P748_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836143,P748_gp074,P748_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836144,P748_gp075,P748_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836145,P748_gp076,P748_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2169687,16836146,P748_gp077,P748_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836147,P748_gp078,P748_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2169687,16836148,P748_gp079,P748_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836149,P748_gp080,P748_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836150,P748_gp081,P748_gp081,-,-,-,-,putative 5'(3') deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3') deoxyribonucleotidase,20200629,-
2169687,16836151,P748_gp082,P748_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836152,P748_gp083,P748_gp083,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
2169687,16836153,P748_gp084,P748_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836154,P748_gp085,P748_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836155,P748_gp086,P748_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836156,P748_gp087,P748_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836157,P748_gp088,P748_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836158,P748_gp089,P748_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836159,P748_gp090,P748_gp090,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20200629,-
2169687,16836160,P748_gp091,P748_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836161,P748_gp092,P748_gp092,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2169687,16836162,P748_gp093,P748_gp093,-,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200629,-
2169687,16836163,P748_gp094,P748_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836164,P748_gp095,P748_gp095,-,-,-,-,putative tailspike protein,protein-coding,-,-,-,putative tailspike protein,20200629,-
2169687,16836165,P748_gp096,P748_gp096,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
2169687,16836166,P748_gp097,P748_gp097,-,-,-,-,tail spike protein head-binding protein,protein-coding,-,-,-,tail spike protein head-binding protein,20200629,-
2169687,16836167,P748_gp098,P748_gp098,-,-,-,-,hypothetical protein RaK2_00526,protein-coding,-,-,-,hypothetical protein RaK2_00526,20200629,-
2169687,16836168,P748_gp099,P748_gp099,-,-,-,-,hypothetical protein RaK2_00525,protein-coding,-,-,-,hypothetical protein RaK2_00525,20200629,-
2169687,16836169,P748_gp100,P748_gp100,-,-,-,-,vrlC protein,protein-coding,-,-,-,vrlC protein,20200629,-
2169687,16836170,P748_gp101,P748_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836171,P748_gp102,P748_gp102,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
2169687,16836172,P748_gp103,P748_gp103,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
2169687,16836173,P748_gp104,P748_gp104,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20210212,-
2169687,16836174,P748_gp105,P748_gp105,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210529,-
2169687,16836175,P748_gp106,P748_gp106,-,-,-,-,"terminase subunit for DNA packaging, nuclease and ATPase",protein-coding,-,-,-,"terminase subunit for DNA packaging, nuclease and ATPase",20200905,-
2169687,16836176,P748_gp107,P748_gp107,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200905,-
2169687,16836177,P748_gp108,P748_gp108,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210529,-
2169687,16836178,P748_gp109,P748_gp109,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
2169687,16836179,P748_gp110,P748_gp110,-,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20200629,-
2169687,16836180,P748_gp111,P748_gp111,-,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200629,-
2169687,16836181,P748_gp112,P748_gp112,-,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20200629,-
2169687,16836182,P748_gp113,P748_gp113,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200629,-
2169687,16836183,P748_gp114,P748_gp114,-,-,-,-,phage major head protein/major capsid protein,protein-coding,-,-,-,phage major head protein/major capsid protein,20200629,-
2169687,16836184,P748_gp115,P748_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836185,P748_gp116,P748_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836186,P748_gp117,P748_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836187,P748_gp118,P748_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836188,P748_gp119,P748_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836189,P748_gp120,P748_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836190,P748_gp121,P748_gp121,-,-,-,-,Gp3-tail completion,protein-coding,-,-,-,Gp3-tail completion,20200629,-
2169687,16836191,P748_gp122,P748_gp122,-,-,-,-,putative DNA repair/recombination protein UvsY,protein-coding,-,-,-,putative DNA repair/recombination protein UvsY,20210529,-
2169687,16836192,P748_gp123,P748_gp123,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20200629,-
2169687,16836193,P748_gp124,P748_gp124,-,-,-,-,putative type III restriction enzyme,protein-coding,-,-,-,putative type III restriction enzyme,20200629,-
2169687,16836194,P748_gp125,P748_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836195,P748_gp126,P748_gp126,-,-,-,-,sliding clamp holder,protein-coding,-,-,-,sliding clamp holder,20200629,-
2169687,16836196,P748_gp127,P748_gp127,-,-,-,-,sliding clamp holder,protein-coding,-,-,-,sliding clamp holder,20210212,-
2169687,16836197,P748_gp128,P748_gp128,-,-,-,-,clamp holder for DNA polymerase,protein-coding,-,-,-,clamp holder for DNA polymerase,20200629,-
2169687,16836198,P748_gp129,P748_gp129,-,-,-,-,translational repressor RegA,protein-coding,-,-,-,translational repressor RegA,20201221,-
2169687,16836199,P748_gp130,P748_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2169687,16836200,P748_gp131,P748_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836201,P748_gp132,P748_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836202,P748_gp133,P748_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836203,P748_gp134,P748_gp134,-,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20200629,-
2169687,16836204,P748_gp135,P748_gp135,-,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20210212,-
2169687,16836205,P748_gp136,P748_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836206,P748_gp137,P748_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836207,P748_gp138,P748_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836208,P748_gp139,P748_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2169687,16836209,P748_gp140,P748_gp140,-,-,-,-,putative acyl carrier protein,protein-coding,-,-,-,putative acyl carrier protein,20210529,-
2169687,16836210,P748_gp141,P748_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836211,P748_gp142,P748_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836212,P748_gp143,P748_gp143,-,-,-,-,phage associated protein,protein-coding,-,-,-,phage associated protein,20210529,-
2169687,16836213,P748_gp144,P748_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836214,P748_gp145,P748_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836215,P748_gp146,P748_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836216,P748_gp147,P748_gp147,-,-,-,-,ImpD,protein-coding,-,-,-,ImpD,20200629,-
2169687,16836217,P748_gp148,P748_gp148,-,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20200629,-
2169687,16836218,P748_gp149,P748_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836219,P748_gp150,P748_gp150,-,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20200629,-
2169687,16836220,P748_gp151,P748_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2169687,16836221,P748_gp152,P748_gp152,-,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20210212,-
2169687,16836222,P748_gp153,P748_gp153,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200629,-
2169687,16836223,P748_gp154,P748_gp154,-,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20200629,-
2169687,16836224,P748_gp001,P748_gp001,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
2169687,38744563,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Klebsiella phage 0507-KN2-1).,other,-,-,-,-,20200513,-
