#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912975,64871230,KIV60_gp02,KIV60_gp02,SEA_DARTHPHADER_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210515,-
1912975,64871308,KIV60_gp21,KIV60_gp21,SEA_DARTHPHADER_80,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
1912975,64871309,KIV60_gp20,KIV60_gp20,SEA_DARTHPHADER_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871310,KIV60_gp19,KIV60_gp19,SEA_DARTHPHADER_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871311,KIV60_gp18,KIV60_gp18,SEA_DARTHPHADER_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871312,KIV60_gp17,KIV60_gp17,SEA_DARTHPHADER_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871313,KIV60_gp16,KIV60_gp16,SEA_DARTHPHADER_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871314,KIV60_gp15,KIV60_gp15,SEA_DARTHPHADER_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871315,KIV60_gp14,KIV60_gp14,SEA_DARTHPHADER_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871316,KIV60_gp13,KIV60_gp13,SEA_DARTHPHADER_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871317,KIV60_gp12,KIV60_gp12,SEA_DARTHPHADER_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871318,KIV60_gp11,KIV60_gp11,SEA_DARTHPHADER_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871319,KIV60_gp10,KIV60_gp10,SEA_DARTHPHADER_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871320,KIV60_gp09,KIV60_gp09,SEA_DARTHPHADER_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64871321,KIV60_gp01,KIV60_gp01,SEA_DARTHPHADER_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1912975,64953851,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage DarthPhader).,other,-,-,-,-,20210517,-
