#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2716728,65053834,KMB92_gp001,KMB92_gp001,PhiZZ6_001,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20210608,-
2716728,65053854,KMB92_gp021,KMB92_gp021,PhiZZ6_021,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210608,-
2716728,65053855,KMB92_gp022,KMB92_gp022,PhiZZ6_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053856,KMB92_gp023,KMB92_gp023,PhiZZ6_023,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210608,-
2716728,65053857,KMB92_gp024,KMB92_gp024,PhiZZ6_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053858,KMB92_gp025,KMB92_gp025,PhiZZ6_025,-,-,-,putative transcription modulator,protein-coding,-,-,-,putative transcription modulator,20210608,-
2716728,65053859,KMB92_gp026,KMB92_gp026,PhiZZ6_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053860,KMB92_gp027,KMB92_gp027,PhiZZ6_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053861,KMB92_gp028,KMB92_gp028,PhiZZ6_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053862,KMB92_gp029,KMB92_gp029,PhiZZ6_029,-,-,-,small outer capsid,protein-coding,-,-,-,small outer capsid,20210608,-
2716728,65053863,KMB92_gp030,KMB92_gp030,PhiZZ6_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053864,KMB92_gp031,KMB92_gp031,PhiZZ6_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053865,KMB92_gp032,KMB92_gp032,PhiZZ6_032,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210609,-
2716728,65053866,KMB92_gp033,KMB92_gp033,PhiZZ6_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053867,KMB92_gp034,KMB92_gp034,PhiZZ6_034,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2716728,65053868,KMB92_gp035,KMB92_gp035,PhiZZ6_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053869,KMB92_gp036,KMB92_gp036,PhiZZ6_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053870,KMB92_gp037,KMB92_gp037,PhiZZ6_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053871,KMB92_gp038,KMB92_gp038,PhiZZ6_038,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210608,-
2716728,65053872,KMB92_gp039,KMB92_gp039,PhiZZ6_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053873,KMB92_gp040,KMB92_gp040,PhiZZ6_040,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210608,-
2716728,65053874,KMB92_gp041,KMB92_gp041,PhiZZ6_041,-,-,-,replication and recombination DNA helicase,protein-coding,-,-,-,replication and recombination DNA helicase,20210608,-
2716728,65053875,KMB92_gp042,KMB92_gp042,PhiZZ6_042,-,-,-,putative head vertex assembly chaperone,protein-coding,-,-,-,putative head vertex assembly chaperone,20210608,-
2716728,65053876,KMB92_gp043,KMB92_gp043,PhiZZ6_043,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210609,-
2716728,65053877,KMB92_gp044,KMB92_gp044,PhiZZ6_044,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,beta-glucosyl-HMC-alpha-glucosyl-transferase,20210608,-
2716728,65053878,KMB92_gp045,KMB92_gp045,PhiZZ6_045,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20210608,-
2716728,65053879,KMB92_gp046,KMB92_gp046,PhiZZ6_046,-,-,-,putative immunity to superinfection membrane protein,protein-coding,-,-,-,putative immunity to superinfection membrane protein,20210608,-
2716728,65053880,KMB92_gp047,KMB92_gp047,PhiZZ6_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053881,KMB92_gp048,KMB92_gp048,PhiZZ6_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053882,KMB92_gp049,KMB92_gp049,PhiZZ6_049,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2716728,65053883,KMB92_gp050,KMB92_gp050,PhiZZ6_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053884,KMB92_gp051,KMB92_gp051,PhiZZ6_051,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20210612,-
2716728,65053885,KMB92_gp052,KMB92_gp052,PhiZZ6_052,-,-,-,clamp-loader subunit,protein-coding,-,-,-,clamp-loader subunit,20210608,-
2716728,65053886,KMB92_gp053,KMB92_gp053,PhiZZ6_053,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210608,-
2716728,65053887,KMB92_gp054,KMB92_gp054,PhiZZ6_054,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210609,-
2716728,65053888,KMB92_gp055,KMB92_gp055,PhiZZ6_055,-,-,-,putative RNA polymerase binding protein,protein-coding,-,-,-,putative RNA polymerase binding protein,20210612,-
2716728,65053889,KMB92_gp056,KMB92_gp056,PhiZZ6_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053890,KMB92_gp057,KMB92_gp057,PhiZZ6_057,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210608,-
2716728,65053891,KMB92_gp058,KMB92_gp058,PhiZZ6_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053892,KMB92_gp059,KMB92_gp059,PhiZZ6_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053893,KMB92_gp060,KMB92_gp060,PhiZZ6_060,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210608,-
2716728,65053894,KMB92_gp061,KMB92_gp061,PhiZZ6_061,-,-,-,alpha-glucosyl-transferase,protein-coding,-,-,-,alpha-glucosyl-transferase,20210608,-
2716728,65053895,KMB92_gp062,KMB92_gp062,PhiZZ6_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053896,KMB92_gp063,KMB92_gp063,PhiZZ6_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053897,KMB92_gp064,KMB92_gp064,PhiZZ6_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716728,65053898,KMB92_gp065,KMB92_gp065,PhiZZ6_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053899,KMB92_gp066,KMB92_gp066,PhiZZ6_066,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210609,-
2716728,65053900,KMB92_gp067,KMB92_gp067,PhiZZ6_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053901,KMB92_gp068,KMB92_gp068,PhiZZ6_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053902,KMB92_gp069,KMB92_gp069,PhiZZ6_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053903,KMB92_gp070,KMB92_gp070,PhiZZ6_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053904,KMB92_gp071,KMB92_gp071,PhiZZ6_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053905,KMB92_gp072,KMB92_gp072,PhiZZ6_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053906,KMB92_gp073,KMB92_gp073,PhiZZ6_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053907,KMB92_gp074,KMB92_gp074,PhiZZ6_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053908,KMB92_gp075,KMB92_gp075,PhiZZ6_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053909,KMB92_gp076,KMB92_gp076,PhiZZ6_076,-,-,-,ribonucleotide reductase of class III anaerobic activating protein,protein-coding,-,-,-,ribonucleotide reductase of class III anaerobic activating protein,20210608,-
2716728,65053910,KMB92_gp077,KMB92_gp077,PhiZZ6_077,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20210608,-
2716728,65053911,KMB92_gp078,KMB92_gp078,PhiZZ6_078,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210612,-
2716728,65053912,KMB92_gp079,KMB92_gp079,PhiZZ6_079,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210608,-
2716728,65053913,KMB92_gp080,KMB92_gp080,PhiZZ6_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053914,KMB92_gp081,KMB92_gp081,PhiZZ6_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053915,KMB92_gp082,KMB92_gp082,PhiZZ6_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053916,KMB92_gp083,KMB92_gp083,PhiZZ6_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053917,KMB92_gp084,KMB92_gp084,PhiZZ6_084,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716728,65053918,KMB92_gp085,KMB92_gp085,PhiZZ6_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053919,KMB92_gp086,KMB92_gp086,PhiZZ6_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053920,KMB92_gp087,KMB92_gp087,PhiZZ6_087,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716728,65053921,KMB92_gp088,KMB92_gp088,PhiZZ6_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053922,KMB92_gp089,KMB92_gp089,PhiZZ6_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053923,KMB92_gp090,KMB92_gp090,PhiZZ6_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053924,KMB92_gp091,KMB92_gp091,PhiZZ6_091,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716728,65053925,KMB92_gp092,KMB92_gp092,PhiZZ6_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053926,KMB92_gp093,KMB92_gp093,PhiZZ6_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053927,KMB92_gp094,KMB92_gp094,PhiZZ6_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053928,KMB92_gp095,KMB92_gp095,PhiZZ6_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2716728,65053929,KMB92_gp096,KMB92_gp096,PhiZZ6_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053930,KMB92_gp097,KMB92_gp097,PhiZZ6_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053931,KMB92_gp098,KMB92_gp098,PhiZZ6_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053932,KMB92_gp099,KMB92_gp099,PhiZZ6_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053933,KMB92_gp100,KMB92_gp100,PhiZZ6_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053934,KMB92_gp101,KMB92_gp101,PhiZZ6_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053935,KMB92_gp102,KMB92_gp102,PhiZZ6_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053936,KMB92_gp103,KMB92_gp103,PhiZZ6_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053937,KMB92_gp104,KMB92_gp104,PhiZZ6_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053938,KMB92_gp105,KMB92_gp105,PhiZZ6_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053939,KMB92_gp106,KMB92_gp106,PhiZZ6_106,-,-,-,rI membrane protein,protein-coding,-,-,-,rI membrane protein,20210608,-
2716728,65053940,KMB92_gp107,KMB92_gp107,PhiZZ6_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053941,KMB92_gp108,KMB92_gp108,PhiZZ6_108,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210609,-
2716728,65053942,KMB92_gp109,KMB92_gp109,PhiZZ6_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053943,KMB92_gp110,KMB92_gp110,PhiZZ6_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053944,KMB92_gp111,KMB92_gp111,PhiZZ6_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053945,KMB92_gp112,KMB92_gp112,PhiZZ6_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053946,KMB92_gp113,KMB92_gp113,PhiZZ6_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053947,KMB92_gp114,KMB92_gp114,PhiZZ6_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716728,65053948,KMB92_gp115,KMB92_gp115,PhiZZ6_115,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210608,-
2716728,65053949,KMB92_gp116,KMB92_gp116,PhiZZ6_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053950,KMB92_gp117,KMB92_gp117,PhiZZ6_117,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210608,-
2716728,65053951,KMB92_gp118,KMB92_gp118,PhiZZ6_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053952,KMB92_gp119,KMB92_gp119,PhiZZ6_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053953,KMB92_gp120,KMB92_gp120,PhiZZ6_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053954,KMB92_gp121,KMB92_gp121,PhiZZ6_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053955,KMB92_gp122,KMB92_gp122,PhiZZ6_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053956,KMB92_gp123,KMB92_gp123,PhiZZ6_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053957,KMB92_gp124,KMB92_gp124,PhiZZ6_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053958,KMB92_gp125,KMB92_gp125,PhiZZ6_125,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20210608,-
2716728,65053959,KMB92_gp126,KMB92_gp126,PhiZZ6_126,-,-,-,lysozyme murein hydrolase,protein-coding,-,-,-,lysozyme murein hydrolase,20210608,-
2716728,65053960,KMB92_gp127,KMB92_gp127,PhiZZ6_127,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210608,-
2716728,65053961,KMB92_gp128,KMB92_gp128,PhiZZ6_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053962,KMB92_gp129,KMB92_gp129,PhiZZ6_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053963,KMB92_gp130,KMB92_gp130,PhiZZ6_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053964,KMB92_gp131,KMB92_gp131,PhiZZ6_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053965,KMB92_gp132,KMB92_gp132,PhiZZ6_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053966,KMB92_gp133,KMB92_gp133,PhiZZ6_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053967,KMB92_gp134,KMB92_gp134,PhiZZ6_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053968,KMB92_gp135,KMB92_gp135,PhiZZ6_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053969,KMB92_gp136,KMB92_gp136,PhiZZ6_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053970,KMB92_gp137,KMB92_gp137,PhiZZ6_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053971,KMB92_gt001,KMB92_gt001,PhiZZ6_138,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053972,KMB92_gt002,KMB92_gt002,PhiZZ6_139,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053973,KMB92_gt003,KMB92_gt003,PhiZZ6_140,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053974,KMB92_gt004,KMB92_gt004,PhiZZ6_141,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053975,KMB92_gt005,KMB92_gt005,PhiZZ6_142,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053976,KMB92_gt006,KMB92_gt006,PhiZZ6_143,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053977,KMB92_gt007,KMB92_gt007,PhiZZ6_144,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053978,KMB92_gt008,KMB92_gt008,PhiZZ6_145,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053979,KMB92_gt009,KMB92_gt009,PhiZZ6_146,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053980,KMB92_gt010,KMB92_gt010,PhiZZ6_147,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716728,65053981,KMB92_gp272,KMB92_gp272,PhiZZ6_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053982,KMB92_gp271,KMB92_gp271,PhiZZ6_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053983,KMB92_gp270,KMB92_gp270,PhiZZ6_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053984,KMB92_gp269,KMB92_gp269,PhiZZ6_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053985,KMB92_gp268,KMB92_gp268,PhiZZ6_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716728,65053986,KMB92_gp267,KMB92_gp267,PhiZZ6_153,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210608,-
2716728,65053987,KMB92_gp266,KMB92_gp266,PhiZZ6_154,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210608,-
2716728,65053988,KMB92_gp265,KMB92_gp265,PhiZZ6_155,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210612,-
2716728,65053989,KMB92_gp264,KMB92_gp264,PhiZZ6_156,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210608,-
2716728,65053990,KMB92_gp263,KMB92_gp263,PhiZZ6_157,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210609,-
2716728,65053991,KMB92_gp262,KMB92_gp262,PhiZZ6_158,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2716728,65053992,KMB92_gp261,KMB92_gp261,PhiZZ6_159,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210608,-
2716728,65053993,KMB92_gp260,KMB92_gp260,PhiZZ6_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65053994,KMB92_gp259,KMB92_gp259,PhiZZ6_161,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210608,-
2716728,65053995,KMB92_gp258,KMB92_gp258,PhiZZ6_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716728,65053996,KMB92_gp257,KMB92_gp257,PhiZZ6_163,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2716728,65053997,KMB92_gp256,KMB92_gp256,PhiZZ6_164,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2716728,65053998,KMB92_gp255,KMB92_gp255,PhiZZ6_165,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210612,-
2716728,65053999,KMB92_gp254,KMB92_gp254,PhiZZ6_166,-,-,-,baseplate wedge completion tail fiber socket,protein-coding,-,-,-,baseplate wedge completion tail fiber socket,20210608,-
2716728,65054000,KMB92_gp253,KMB92_gp253,PhiZZ6_167,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210608,-
2716728,65054001,KMB92_gp252,KMB92_gp252,PhiZZ6_168,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210609,-
2716728,65054002,KMB92_gp251,KMB92_gp251,PhiZZ6_169,-,-,-,short tail fiber protein middle domain,protein-coding,-,-,-,short tail fiber protein middle domain,20210608,-
2716728,65054003,KMB92_gp250,KMB92_gp250,PhiZZ6_170,-,-,-,fibritin,protein-coding,-,-,-,fibritin,20210608,-
2716728,65054004,KMB92_gp249,KMB92_gp249,PhiZZ6_171,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210608,-
2716728,65054005,KMB92_gp248,KMB92_gp248,PhiZZ6_172,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210609,-
2716728,65054006,KMB92_gp247,KMB92_gp247,PhiZZ6_173,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210608,-
2716728,65054007,KMB92_gp246,KMB92_gp246,PhiZZ6_174,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2716728,65054008,KMB92_gp245,KMB92_gp245,PhiZZ6_175,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20210608,-
