#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483669,63026389,2,J1765_gp02,SEA_GAEA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2483669,63026403,16,J1765_gp16,SEA_GAEA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026404,17,J1765_gp17,SEA_GAEA_17,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2483669,63026405,18,J1765_gp18,SEA_GAEA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026406,19,J1765_gp19,SEA_GAEA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026407,20,J1765_gp20,SEA_GAEA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026408,21,J1765_gp21,SEA_GAEA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026409,22,J1765_gp22,SEA_GAEA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026410,23,J1765_gp23,SEA_GAEA_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2483669,63026411,24,J1765_gp24,SEA_GAEA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026412,25,J1765_gp25,SEA_GAEA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026413,26,J1765_gp26,SEA_GAEA_26,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2483669,63026414,27,J1765_gp27,SEA_GAEA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026415,28,J1765_gp28,SEA_GAEA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026416,29,J1765_gp29,SEA_GAEA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026417,30,J1765_gp30,SEA_GAEA_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2483669,63026418,31,J1765_gp31,SEA_GAEA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026419,32,J1765_gp32,SEA_GAEA_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2483669,63026420,33,J1765_gp33,SEA_GAEA_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483669,63026421,34,J1765_gp34,SEA_GAEA_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483669,63026422,35,J1765_gp35,SEA_GAEA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2483669,63026423,36,J1765_gp36,SEA_GAEA_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483669,63026424,37,J1765_gp37,SEA_GAEA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026425,38,J1765_gp38,SEA_GAEA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026426,39,J1765_gp39,SEA_GAEA_39,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483669,63026427,40,J1765_gp40,SEA_GAEA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026428,41,J1765_gp41,SEA_GAEA_41,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2483669,63026429,42,J1765_gp42,SEA_GAEA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026430,43,J1765_gp43,SEA_GAEA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026431,44,J1765_gp44,SEA_GAEA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026432,45,J1765_gp45,SEA_GAEA_45,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2483669,63026433,46,J1765_gp46,SEA_GAEA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026434,47,J1765_gp47,SEA_GAEA_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2483669,63026435,48,J1765_gp48,SEA_GAEA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026436,49,J1765_gp49,SEA_GAEA_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2483669,63026437,50,J1765_gp50,SEA_GAEA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026438,51,J1765_gp51,SEA_GAEA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026439,52,J1765_gp52,SEA_GAEA_52,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2483669,63026440,53,J1765_gp53,SEA_GAEA_53,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2483669,63026441,54,J1765_gp54,SEA_GAEA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026442,55,J1765_gp55,SEA_GAEA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026443,56,J1765_gp56,SEA_GAEA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026444,57,J1765_gp57,SEA_GAEA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026445,58,J1765_gp58,SEA_GAEA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026446,59,J1765_gp59,SEA_GAEA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026447,60,J1765_gp60,SEA_GAEA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026448,61,J1765_gp61,SEA_GAEA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026449,62,J1765_gp62,SEA_GAEA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026450,63,J1765_gp63,SEA_GAEA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026451,64,J1765_gp64,SEA_GAEA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026452,65,J1765_gp65,SEA_GAEA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026453,66,J1765_gp66,SEA_GAEA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026454,67,J1765_gp67,SEA_GAEA_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2483669,63026455,68,J1765_gp68,SEA_GAEA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026456,69,J1765_gp69,SEA_GAEA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026457,70,J1765_gp70,SEA_GAEA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026458,71,J1765_gp71,SEA_GAEA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026459,72,J1765_gp72,SEA_GAEA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026460,73,J1765_gp73,SEA_GAEA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026461,74,J1765_gp74,SEA_GAEA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026462,75,J1765_gp75,SEA_GAEA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026463,76,J1765_gp76,SEA_GAEA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026464,77,J1765_gp77,SEA_GAEA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026465,78,J1765_gp78,SEA_GAEA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026466,79,J1765_gp79,SEA_GAEA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026467,80,J1765_gp80,SEA_GAEA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026468,81,J1765_gp81,SEA_GAEA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026469,82,J1765_gp82,SEA_GAEA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026470,83,J1765_gp83,SEA_GAEA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026471,84,J1765_gp84,SEA_GAEA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483669,63026472,85,J1765_gp85,SEA_GAEA_85,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2483669,63026473,86,J1765_gp86,SEA_GAEA_86,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2483669,63026474,1,J1765_gp01,SEA_GAEA_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2483669,63139665,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
