#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301701,55611251,2,HWB85_gp002,SEA_RENAUD18_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2301701,55611312,67,HWB85_gp067,SEA_RENAUD18_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611313,68,HWB85_gp068,SEA_RENAUD18_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611314,69,HWB85_gp069,SEA_RENAUD18_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611315,70,HWB85_gp070,SEA_RENAUD18_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611316,71,HWB85_gp071,SEA_RENAUD18_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611317,72,HWB85_gp072,SEA_RENAUD18_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611318,73,HWB85_gp073,SEA_RENAUD18_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611319,74,HWB85_gp074,SEA_RENAUD18_74,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210417,-
2301701,55611320,75,HWB85_gp075,SEA_RENAUD18_75,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2301701,55611321,76,HWB85_gp076,SEA_RENAUD18_76,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2301701,55611322,77,HWB85_gp077,SEA_RENAUD18_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611323,79,HWB85_gp079,SEA_RENAUD18_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611324,80,HWB85_gp080,SEA_RENAUD18_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611325,81,HWB85_gp081,SEA_RENAUD18_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611326,82,HWB85_gp082,SEA_RENAUD18_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611327,83,HWB85_gp083,SEA_RENAUD18_83,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2301701,55611328,84,HWB85_gp084,SEA_RENAUD18_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611329,85,HWB85_gp085,SEA_RENAUD18_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611330,86,HWB85_gp086,SEA_RENAUD18_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611331,87,HWB85_gp087,SEA_RENAUD18_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611332,88,HWB85_gp088,SEA_RENAUD18_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611333,89,HWB85_gp089,SEA_RENAUD18_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611334,90,HWB85_gp090,SEA_RENAUD18_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301701,55611335,91,HWB85_gp091,SEA_RENAUD18_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611336,92,HWB85_gp092,SEA_RENAUD18_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611337,93,HWB85_gp093,SEA_RENAUD18_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611338,94,HWB85_gp094,SEA_RENAUD18_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611339,95,HWB85_gp095,SEA_RENAUD18_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611340,96,HWB85_gp096,SEA_RENAUD18_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611341,97,HWB85_gp097,SEA_RENAUD18_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611342,98,HWB85_gp098,SEA_RENAUD18_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611343,99,HWB85_gp099,SEA_RENAUD18_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611344,100,HWB85_gp100,SEA_RENAUD18_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611345,101,HWB85_gp101,SEA_RENAUD18_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611346,102,HWB85_gp102,SEA_RENAUD18_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611347,103,HWB85_gp103,SEA_RENAUD18_103,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20200919,-
2301701,55611348,104,HWB85_gp104,SEA_RENAUD18_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611349,105,HWB85_gp105,SEA_RENAUD18_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611350,106,HWB85_gp106,SEA_RENAUD18_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611351,107,HWB85_gp107,SEA_RENAUD18_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611352,108,HWB85_gp108,SEA_RENAUD18_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611353,109,HWB85_gp109,SEA_RENAUD18_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611354,110,HWB85_gp110,SEA_RENAUD18_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301701,55611355,111,HWB85_gp111,SEA_RENAUD18_111,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301701,55611356,112,HWB85_gp112,SEA_RENAUD18_112,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2301701,55611357,37,HWB85_gp037,SEA_RENAUD18_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611358,49,HWB85_gp049,SEA_RENAUD18_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2301701,55611359,51,HWB85_gp051,SEA_RENAUD18_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611360,55,HWB85_gp055,SEA_RENAUD18_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301701,55611361,78,HWB85_gp078,SEA_RENAUD18_78,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2301701,55611362,1,HWB85_gp001,SEA_RENAUD18_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200620,-
2301701,55635849,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Renaud18).,other,-,-,-,-,20200622,-
