#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653274,65122445,2,KNU77_gp02,SEA_KEITABEAR_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2653274,65122470,27,KNU77_gp27,SEA_KEITABEAR_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2653274,65122471,28,KNU77_gp28,SEA_KEITABEAR_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122472,29,KNU77_gp29,SEA_KEITABEAR_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122473,30,KNU77_gp30,SEA_KEITABEAR_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210609,-
2653274,65122474,31,KNU77_gp31,SEA_KEITABEAR_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2653274,65122475,32,KNU77_gp32,SEA_KEITABEAR_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122476,33,KNU77_gp33,SEA_KEITABEAR_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2653274,65122477,34,KNU77_gp34,SEA_KEITABEAR_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2653274,65122478,35,KNU77_gp35,SEA_KEITABEAR_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2653274,65122479,36,KNU77_gp36,SEA_KEITABEAR_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2653274,65122480,37,KNU77_gp37,SEA_KEITABEAR_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122481,38,KNU77_gp38,SEA_KEITABEAR_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2653274,65122482,39,KNU77_gp39,SEA_KEITABEAR_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122483,40,KNU77_gp40,SEA_KEITABEAR_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122484,41,KNU77_gp41,SEA_KEITABEAR_41,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2653274,65122485,42,KNU77_gp42,SEA_KEITABEAR_42,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2653274,65122486,43,KNU77_gp43,SEA_KEITABEAR_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122487,44,KNU77_gp44,SEA_KEITABEAR_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122488,45,KNU77_gp45,SEA_KEITABEAR_45,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2653274,65122489,46,KNU77_gp46,SEA_KEITABEAR_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122490,47,KNU77_gp47,SEA_KEITABEAR_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122491,48,KNU77_gp48,SEA_KEITABEAR_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2653274,65122492,49,KNU77_gp49,SEA_KEITABEAR_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122493,50,KNU77_gp50,SEA_KEITABEAR_50,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2653274,65122494,51,KNU77_gp51,SEA_KEITABEAR_51,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210608,-
2653274,65122495,52,KNU77_gp52,SEA_KEITABEAR_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122496,53,KNU77_gp53,SEA_KEITABEAR_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122497,54,KNU77_gp54,SEA_KEITABEAR_54,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2653274,65122498,55,KNU77_gp55,SEA_KEITABEAR_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122499,56,KNU77_gp56,SEA_KEITABEAR_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122500,57,KNU77_gp57,SEA_KEITABEAR_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122501,58,KNU77_gp58,SEA_KEITABEAR_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122502,59,KNU77_gp59,SEA_KEITABEAR_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122503,60,KNU77_gp60,SEA_KEITABEAR_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2653274,65122504,61,KNU77_gp61,SEA_KEITABEAR_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122505,62,KNU77_gp62,SEA_KEITABEAR_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122506,63,KNU77_gp63,SEA_KEITABEAR_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122507,64,KNU77_gp64,SEA_KEITABEAR_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122508,65,KNU77_gp65,SEA_KEITABEAR_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122509,66,KNU77_gp66,SEA_KEITABEAR_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122510,67,KNU77_gp67,SEA_KEITABEAR_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210608,-
2653274,65122511,68,KNU77_gp68,SEA_KEITABEAR_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122512,69,KNU77_gp69,SEA_KEITABEAR_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122513,70,KNU77_gp70,SEA_KEITABEAR_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122514,71,KNU77_gp71,SEA_KEITABEAR_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122515,72,KNU77_gp72,SEA_KEITABEAR_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122516,73,KNU77_gp73,SEA_KEITABEAR_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122517,74,KNU77_gp74,SEA_KEITABEAR_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122518,75,KNU77_gp75,SEA_KEITABEAR_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122519,76,KNU77_gp76,SEA_KEITABEAR_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122520,77,KNU77_gp77,SEA_KEITABEAR_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122521,78,KNU77_gp78,SEA_KEITABEAR_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122522,79,KNU77_gp79,SEA_KEITABEAR_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122523,80,KNU77_gp80,SEA_KEITABEAR_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122524,81,KNU77_gp81,SEA_KEITABEAR_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653274,65122525,82,KNU77_gp82,SEA_KEITABEAR_82,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210608,-
2653274,65122526,83,KNU77_gp83,SEA_KEITABEAR_83,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2653274,65122527,1,KNU77_gp01,SEA_KEITABEAR_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2653274,65243249,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
