#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713256,55816723,2,HYQ28_gp02,SEA_ABBA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210129,-
2713256,55816772,51,HYQ28_gp51,SEA_ABBA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816773,52,HYQ28_gp52,SEA_ABBA_52,-,-,-,DnaJ-like chaperonin,protein-coding,-,-,-,DnaJ-like chaperonin,20210129,-
2713256,55816774,53,HYQ28_gp53,SEA_ABBA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816775,54,HYQ28_gp54,SEA_ABBA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816776,55,HYQ28_gp55,SEA_ABBA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816777,56,HYQ28_gp56,SEA_ABBA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816778,57,HYQ28_gp57,SEA_ABBA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816779,58,HYQ28_gp58,SEA_ABBA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816780,59,HYQ28_gp59,SEA_ABBA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816781,60,HYQ28_gp60,SEA_ABBA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816782,61,HYQ28_gp61,SEA_ABBA_61,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200704,-
2713256,55816783,62,HYQ28_gp62,SEA_ABBA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816784,63,HYQ28_gp63,SEA_ABBA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816785,64,HYQ28_gp64,SEA_ABBA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816786,65,HYQ28_gp65,SEA_ABBA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816787,66,HYQ28_gp66,SEA_ABBA_66,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210129,-
2713256,55816788,67,HYQ28_gp67,SEA_ABBA_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2713256,55816789,68,HYQ28_gp68,SEA_ABBA_68,-,-,-,DNA polymerase III sliding clamp,protein-coding,-,-,-,DNA polymerase III sliding clamp,20210129,-
2713256,55816790,69,HYQ28_gp69,SEA_ABBA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816791,70,HYQ28_gp70,SEA_ABBA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713256,55816792,71,HYQ28_gp71,SEA_ABBA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713256,55816793,1,HYQ28_gp01,SEA_ABBA_1,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2713256,55863678,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
