#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1138383,11933450,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Mycobacterium intracellulare genotype INT-1.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200408,-
1138383,45452333,OCQ_RS00160,OCQ_RS00160,OCQ_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452334,OCQ_RS00165,OCQ_RS00165,OCQ_00300,-,-,-,N-acetyltransferase,protein-coding,-,-,-,N-acetyltransferase,20210201,-
1138383,45452335,OCQ_RS00170,OCQ_RS00170,OCQ_00310,-,-,-,pirin family protein,protein-coding,-,-,-,pirin family protein,20210201,-
1138383,45452336,OCQ_RS00175,OCQ_RS00175,OCQ_00320,-,-,-,acyl-CoA dehydrogenase family protein,protein-coding,-,-,-,acyl-CoA dehydrogenase family protein,20210129,-
1138383,45452337,OCQ_RS00180,OCQ_RS00180,OCQ_00330,-,-,-,WhiB family transcriptional regulator,protein-coding,-,-,-,WhiB family transcriptional regulator,20210201,-
1138383,45452338,OCQ_RS00185,OCQ_RS00185,OCQ_00340,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210129,-
1138383,45452339,OCQ_RS00190,OCQ_RS00190,OCQ_00350,-,-,-,C40 family peptidase,protein-coding,-,-,-,C40 family peptidase,20210129,-
1138383,45452340,OCQ_RS00195,OCQ_RS00195,OCQ_00360,-,-,-,DUF4226 domain-containing protein,protein-coding,-,-,-,DUF4226 domain-containing protein,20210201,-
1138383,45452341,OCQ_RS00200,OCQ_RS00200,OCQ_00370,-,-,-,DUF4226 domain-containing protein,protein-coding,-,-,-,DUF4226 domain-containing protein,20210201,-
1138383,45452342,OCQ_RS00205,OCQ_RS00205,OCQ_00380,-,-,-,ESX-1 secretion-associated protein,protein-coding,-,-,-,ESX-1 secretion-associated protein,20210201,-
1138383,45452343,OCQ_RS00210,OCQ_RS00210,OCQ_00390,-,-,-,DUF2694 family protein,protein-coding,-,-,-,DUF2694 family protein,20210201,-
1138383,45452344,OCQ_RS00215,OCQ_RS00215,OCQ_00410,-,-,-,DUF5632 domain-containing protein,protein-coding,-,-,-,DUF5632 domain-containing protein,20210201,-
1138383,45452345,OCQ_RS00220,OCQ_RS00220,OCQ_00420,-,-,-,DUF2710 family protein,protein-coding,-,-,-,DUF2710 family protein,20210327,-
1138383,45452346,OCQ_RS00225,OCQ_RS00225,OCQ_00430,-,-,-,TIGR03084 family protein,protein-coding,-,-,-,TIGR03084 family protein,20210129,-
1138383,45452347,OCQ_RS00230,OCQ_RS00230,OCQ_00440,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210129,-
1138383,45452348,OCQ_RS00235,OCQ_RS00235,OCQ_00450,-,-,-,YqgE/AlgH family protein,protein-coding,-,-,-,YqgE/AlgH family protein,20210201,-
1138383,45452349,OCQ_RS00240,OCQ_RS00240,OCQ_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452350,OCQ_RS00245,OCQ_RS00245,OCQ_00470,-,-,-,LpqN/LpqT family lipoprotein,protein-coding,-,-,-,LpqN/LpqT family lipoprotein,20210129,-
1138383,45452351,OCQ_RS00250,OCQ_RS00250,OCQ_00480,-,-,-,leucine--tRNA ligase,protein-coding,-,-,-,leucine--tRNA ligase,20210201,-
1138383,45452352,OCQ_RS00255,OCQ_RS00255,OCQ_00490,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210201,-
1138383,45452353,OCQ_RS00260,OCQ_RS00260,OCQ_00500,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210201,-
1138383,45452354,OCQ_RS00265,OCQ_RS00265,OCQ_00510,-,-,-,amino acid ABC transporter ATP-binding protein,protein-coding,-,-,-,amino acid ABC transporter ATP-binding protein,20210201,-
1138383,45452355,OCQ_RS00270,OCQ_RS00270,OCQ_00520,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20210201,-
1138383,45452356,OCQ_RS00275,OCQ_RS00275,OCQ_00530,-,-,-,GntR family transcriptional regulator,protein-coding,-,-,-,GntR family transcriptional regulator,20210201,-
1138383,45452357,OCQ_RS00280,OCQ_RS00280,OCQ_00540,-,-,-,LLM class F420-dependent oxidoreductase,protein-coding,-,-,-,LLM class F420-dependent oxidoreductase,20210201,-
1138383,45452358,OCQ_RS00285,OCQ_RS00285,OCQ_00550,-,-,-,NADH:flavin oxidoreductase,protein-coding,-,-,-,NADH:flavin oxidoreductase,20210201,-
1138383,45452359,OCQ_RS00290,OCQ_RS00290,OCQ_00560,-,-,-,NAD-dependent epimerase/dehydratase family protein,protein-coding,-,-,-,NAD-dependent epimerase/dehydratase family protein,20210201,-
1138383,45452360,OCQ_RS00295,OCQ_RS00295,-,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210201,-
1138383,45452361,OCQ_RS00300,OCQ_RS00300,OCQ_00570,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20210201,-
1138383,45452362,OCQ_RS00305,OCQ_RS00305,OCQ_00580,-,-,-,DUF1214 domain-containing protein,protein-coding,-,-,-,DUF1214 domain-containing protein,20210201,-
1138383,45452363,OCQ_RS00310,OCQ_RS00310,OCQ_00590,-,-,-,sugar phosphate isomerase/epimerase,protein-coding,-,-,-,sugar phosphate isomerase/epimerase,20210129,-
1138383,45452364,OCQ_RS00315,OCQ_RS00315,OCQ_00600,-,-,-,sulfotransferase,protein-coding,-,-,-,sulfotransferase,20210201,-
1138383,45452365,OCQ_RS00320,OCQ_RS00320,OCQ_00610,-,-,-,LLM class flavin-dependent oxidoreductase,protein-coding,-,-,-,LLM class flavin-dependent oxidoreductase,20210201,-
1138383,45452366,OCQ_RS00325,OCQ_RS00325,OCQ_00620,-,-,-,inositol-3-phosphate synthase,protein-coding,-,-,-,inositol-3-phosphate synthase,20210201,-
1138383,45452367,OCQ_RS00330,OCQ_RS00330,OCQ_00630,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210212,-
1138383,45452368,OCQ_RS00335,OCQ_RS00335,OCQ_00650,-,-,-,pseudo,pseudo,-,-,-,-,20210128,-
1138383,45452369,OCQ_RS00340,OCQ_RS00340,OCQ_00660,-,-,-,DUF5318 domain-containing protein,protein-coding,-,-,-,DUF5318 domain-containing protein,20210417,-
1138383,45452370,OCQ_RS00345,OCQ_RS00345,OCQ_00670,-,-,-,penicillin-binding protein,protein-coding,-,-,-,penicillin-binding protein,20210129,-
1138383,45452371,OCQ_RS00350,OCQ_RS00350,OCQ_00680,-,-,-,DUF2029 domain-containing protein,protein-coding,-,-,-,DUF2029 domain-containing protein,20210201,-
1138383,45452372,OCQ_RS00355,OCQ_RS00355,OCQ_00690,-,-,-,DJ-1/PfpI family protein,protein-coding,-,-,-,DJ-1/PfpI family protein,20210201,-
1138383,45452373,rpsF,OCQ_RS00360,OCQ_00700,-,-,-,30S ribosomal protein S6,protein-coding,-,-,-,30S ribosomal protein S6,20210201,-
1138383,45452374,OCQ_RS00365,OCQ_RS00365,OCQ_00710,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210201,-
1138383,45452375,OCQ_RS00370,OCQ_RS00370,OCQ_00720,-,-,-,30S ribosomal protein S18,protein-coding,-,-,-,30S ribosomal protein S18,20210201,-
1138383,45452376,rplI,OCQ_RS00375,OCQ_00730,-,-,-,50S ribosomal protein L9,protein-coding,-,-,-,50S ribosomal protein L9,20210201,-
1138383,45452377,dnaB,OCQ_RS00380,OCQ_00740,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210201,-
1138383,45452378,OCQ_RS00385,OCQ_RS00385,OCQ_00750,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210417,-
1138383,45452379,OCQ_RS00390,OCQ_RS00390,OCQ_00760,-,-,-,RND family transporter,protein-coding,-,-,-,RND family transporter,20210129,-
1138383,45452380,OCQ_RS00395,OCQ_RS00395,OCQ_00770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1138383,45452381,OCQ_RS00400,OCQ_RS00400,OCQ_00780,-,-,-,cold-shock protein,protein-coding,-,-,-,cold-shock protein,20210201,-
1138383,45452382,OCQ_RS00405,OCQ_RS00405,OCQ_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452383,OCQ_RS00410,OCQ_RS00410,OCQ_00810,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210201,-
1138383,45452384,OCQ_RS00415,OCQ_RS00415,OCQ_00820,-,-,-,nuclear transport factor 2 family protein,protein-coding,-,-,-,nuclear transport factor 2 family protein,20210201,-
1138383,45452385,OCQ_RS00420,OCQ_RS00420,OCQ_00830,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210406,-
1138383,45452386,OCQ_RS00425,OCQ_RS00425,OCQ_00840,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210201,-
1138383,45452387,OCQ_RS00430,OCQ_RS00430,OCQ_00850,-,-,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210201,-
1138383,45452388,OCQ_RS00435,OCQ_RS00435,OCQ_00860,-,-,-,SDR family NAD(P)-dependent oxidoreductase,protein-coding,-,-,-,SDR family NAD(P)-dependent oxidoreductase,20210201,-
1138383,45452389,OCQ_RS00440,OCQ_RS00440,OCQ_00870,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210201,-
1138383,45452390,OCQ_RS00445,OCQ_RS00445,OCQ_00880,-,-,-,Hsp20 family protein,protein-coding,-,-,-,Hsp20 family protein,20210129,-
1138383,45452391,OCQ_RS00450,OCQ_RS00450,OCQ_00890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452392,OCQ_RS00455,OCQ_RS00455,OCQ_00900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452393,OCQ_RS00460,OCQ_RS00460,OCQ_00910,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210201,-
1138383,45452394,OCQ_RS00465,OCQ_RS00465,OCQ_00920,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20210201,-
1138383,45452395,OCQ_RS00470,OCQ_RS00470,OCQ_00940,-,-,-,Crp/Fnr family transcriptional regulator,protein-coding,-,-,-,Crp/Fnr family transcriptional regulator,20210201,-
1138383,45452396,OCQ_RS00475,OCQ_RS00475,OCQ_00950,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20210201,-
1138383,45452397,OCQ_RS00480,OCQ_RS00480,OCQ_00960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1138383,45452398,OCQ_RS00485,OCQ_RS00485,OCQ_00970,-,-,-,SgcJ/EcaC family oxidoreductase,protein-coding,-,-,-,SgcJ/EcaC family oxidoreductase,20210201,-
1138383,45452399,OCQ_RS00490,OCQ_RS00490,OCQ_00980,-,-,-,N-acetyltransferase,protein-coding,-,-,-,N-acetyltransferase,20210201,-
1138383,45452400,OCQ_RS00495,OCQ_RS00495,OCQ_00990,-,-,-,membrane dipeptidase,protein-coding,-,-,-,membrane dipeptidase,20210129,-
1138383,45452401,OCQ_RS00500,OCQ_RS00500,OCQ_01000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210128,-
1138383,45452402,OCQ_RS00505,OCQ_RS00505,OCQ_01010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210128,-
1138383,45452403,OCQ_RS00510,OCQ_RS00510,OCQ_01030,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210201,-
1138383,45452404,OCQ_RS00515,OCQ_RS00515,OCQ_01040,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210201,-
1138383,45452405,OCQ_RS00520,OCQ_RS00520,OCQ_01050,-,-,-,MCE family protein,protein-coding,-,-,-,MCE family protein,20210201,-
1138383,45452406,OCQ_RS00525,OCQ_RS00525,OCQ_01060,-,-,-,MCE family protein,protein-coding,-,-,-,MCE family protein,20210201,-
1138383,45452407,OCQ_RS00530,OCQ_RS00530,OCQ_01070,-,-,-,MCE family protein,protein-coding,-,-,-,MCE family protein,20210201,-
1138383,45452408,OCQ_RS00535,OCQ_RS00535,OCQ_01080,-,-,-,MCE family protein,protein-coding,-,-,-,MCE family protein,20210201,-
1138383,45452409,OCQ_RS00540,OCQ_RS00540,OCQ_01090,-,-,-,MCE family protein,protein-coding,-,-,-,MCE family protein,20210201,-
1138383,45452410,OCQ_RS00545,OCQ_RS00545,OCQ_01100,-,-,-,MCE family protein,protein-coding,-,-,-,MCE family protein,20210201,-
1138383,45452411,OCQ_RS00550,OCQ_RS00550,OCQ_01110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452412,OCQ_RS00555,OCQ_RS00555,OCQ_01120,-,-,-,DUF3298 domain-containing protein,protein-coding,-,-,-,DUF3298 domain-containing protein,20210201,-
1138383,45452413,OCQ_RS00560,OCQ_RS00560,OCQ_01130,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210201,-
1138383,45452414,OCQ_RS00565,OCQ_RS00565,OCQ_01140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452415,OCQ_RS00570,OCQ_RS00570,OCQ_01150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452416,OCQ_RS00575,OCQ_RS00575,OCQ_01170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452417,OCQ_RS00580,OCQ_RS00580,OCQ_01180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452418,OCQ_RS00585,OCQ_RS00585,OCQ_01190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452419,OCQ_RS00590,OCQ_RS00590,OCQ_01200,-,-,-,PE family protein,protein-coding,-,-,-,PE family protein,20210201,-
1138383,45452420,OCQ_RS00595,OCQ_RS00595,OCQ_01210,-,-,-,PPE family protein,protein-coding,-,-,-,PPE family protein,20210406,-
1138383,45452421,OCQ_RS00600,OCQ_RS00600,OCQ_01220,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210406,-
1138383,45452422,OCQ_RS00605,OCQ_RS00605,OCQ_01230,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210201,-
1138383,45452423,OCQ_RS00610,OCQ_RS00610,OCQ_01240,-,-,-,nitroreductase family deazaflavin-dependent oxidoreductase,protein-coding,-,-,-,nitroreductase family deazaflavin-dependent oxidoreductase,20210201,-
1138383,45452424,OCQ_RS00615,OCQ_RS00615,OCQ_01250,-,-,-,SulP family inorganic anion transporter,protein-coding,-,-,-,SulP family inorganic anion transporter,20210129,-
1138383,45452425,OCQ_RS00620,OCQ_RS00620,OCQ_01260,-,-,-,LLM class F420-dependent oxidoreductase,protein-coding,-,-,-,LLM class F420-dependent oxidoreductase,20210201,-
1138383,45452426,OCQ_RS00625,OCQ_RS00625,OCQ_01270,-,-,-,2-hydroxyacid dehydrogenase,protein-coding,-,-,-,2-hydroxyacid dehydrogenase,20210201,-
1138383,45452427,OCQ_RS00630,OCQ_RS00630,OCQ_01280,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210129,-
1138383,45452428,OCQ_RS00635,OCQ_RS00635,OCQ_01290,-,-,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210201,-
1138383,45452429,OCQ_RS00640,OCQ_RS00640,OCQ_01300,-,-,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210201,-
1138383,45452430,OCQ_RS00645,OCQ_RS00645,OCQ_01310,-,-,-,CbbQ/NirQ/NorQ/GpvN family protein,protein-coding,-,-,-,CbbQ/NirQ/NorQ/GpvN family protein,20210201,-
1138383,45452431,OCQ_RS00650,OCQ_RS00650,OCQ_01320,-,-,-,spirocyclase AveC family protein,protein-coding,-,-,-,spirocyclase AveC family protein,20210129,-
1138383,45452432,OCQ_RS00655,OCQ_RS00655,OCQ_01330,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210201,-
1138383,45452433,OCQ_RS00660,OCQ_RS00660,OCQ_01340,-,-,-,wax ester/triacylglycerol synthase family O-acyltransferase,protein-coding,-,-,-,wax ester/triacylglycerol synthase family O-acyltransferase,20210201,-
1138383,45452434,OCQ_RS00665,OCQ_RS00665,OCQ_01350,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210201,-
1138383,45452435,OCQ_RS00670,OCQ_RS00670,OCQ_01360,-,-,-,hemerythrin domain-containing protein,protein-coding,-,-,-,hemerythrin domain-containing protein,20210201,-
1138383,45452436,OCQ_RS00675,OCQ_RS00675,OCQ_01370,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210201,-
1138383,45452437,OCQ_RS00680,OCQ_RS00680,OCQ_01380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1138383,45452438,OCQ_RS00685,OCQ_RS00685,OCQ_01390,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20210201,-
1138383,45452439,OCQ_RS00690,OCQ_RS00690,OCQ_01400,-,-,-,YdeI/OmpD-associated family protein,protein-coding,-,-,-,YdeI/OmpD-associated family protein,20210201,-
1138383,45452440,OCQ_RS00695,OCQ_RS00695,OCQ_01410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1138383,45452441,OCQ_RS00700,OCQ_RS00700,OCQ_01420,-,-,-,CoA pyrophosphatase,protein-coding,-,-,-,CoA pyrophosphatase,20210201,-
1138383,45452442,OCQ_RS00705,OCQ_RS00705,OCQ_01430,-,-,-,haloacid dehalogenase type II,protein-coding,-,-,-,haloacid dehalogenase type II,20210201,-
1138383,45452443,OCQ_RS00710,OCQ_RS00710,OCQ_01440,-,-,-,SAM-dependent methyltransferase,protein-coding,-,-,-,SAM-dependent methyltransferase,20210201,-
1138383,45452444,OCQ_RS00715,OCQ_RS00715,OCQ_01450,-,-,-,PadR family transcriptional regulator,protein-coding,-,-,-,PadR family transcriptional regulator,20210201,-
1138383,45452445,OCQ_RS00720,OCQ_RS00720,OCQ_01460,-,-,-,nuclear transport factor 2 family protein,protein-coding,-,-,-,nuclear transport factor 2 family protein,20210201,-
1138383,45452446,OCQ_RS00725,OCQ_RS00725,OCQ_01470,-,-,-,LLM class F420-dependent oxidoreductase,protein-coding,-,-,-,LLM class F420-dependent oxidoreductase,20210201,-
1138383,45452447,OCQ_RS00730,OCQ_RS00730,OCQ_01480,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210129,-
1138383,45452448,OCQ_RS00735,OCQ_RS00735,OCQ_01490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210201,-
1138383,45452449,OCQ_RS00740,OCQ_RS00740,OCQ_01500,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20210201,-
1138383,45452450,OCQ_RS00745,OCQ_RS00745,OCQ_01510,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210201,-
1138383,45452451,OCQ_RS00750,OCQ_RS00750,OCQ_01520,-,-,-,acyl-CoA dehydrogenase family protein,protein-coding,-,-,-,acyl-CoA dehydrogenase family protein,20210201,-
1138383,45452452,OCQ_RS00755,OCQ_RS00755,OCQ_01530,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210201,-
1138383,45452453,OCQ_RS00760,OCQ_RS00760,OCQ_01540,-,-,-,HAMP domain-containing histidine kinase,protein-coding,-,-,-,HAMP domain-containing histidine kinase,20210201,-
1138383,45452454,OCQ_RS00765,OCQ_RS00765,OCQ_01550,-,-,-,PE family protein,protein-coding,-,-,-,PE family protein,20210201,-
1138383,45452455,OCQ_RS00770,OCQ_RS00770,OCQ_01560,-,-,-,PPE family protein,protein-coding,-,-,-,PPE family protein,20210129,-
1138383,45452456,OCQ_RS00775,OCQ_RS00775,OCQ_01570,-,-,-,WXG100 family type VII secretion target,protein-coding,-,-,-,WXG100 family type VII secretion target,20210201,-
1138383,45452457,OCQ_RS00780,OCQ_RS00780,OCQ_01580,-,-,-,WXG100 family type VII secretion target,protein-coding,-,-,-,WXG100 family type VII secretion target,20210201,-
1138383,45452458,OCQ_RS00785,OCQ_RS00785,OCQ_01590,-,-,-,ESX secretion-associated protein EspG,protein-coding,-,-,-,ESX secretion-associated protein EspG,20210201,-
1138383,45452459,OCQ_RS00790,OCQ_RS00790,OCQ_01600,-,-,-,MinD/ParA family protein,protein-coding,-,-,-,MinD/ParA family protein,20210129,-
1138383,45452460,eccD,OCQ_RS00795,OCQ_01610,-,-,-,type VII secretion integral membrane protein EccD,protein-coding,-,-,-,type VII secretion integral membrane protein EccD,20210129,-
1138383,45452461,mycP2,OCQ_RS00800,OCQ_01620,-,-,-,type VII secretion system ESX-2 serine protease mycosin MycP2,protein-coding,-,-,-,type VII secretion system ESX-2 serine protease mycosin MycP2,20210201,-
