#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1690426,40092925,FDI80_gp02,FDI80_gp02,SEA_AARONOCOLUS_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1690426,40092953,FDI80_gp30,FDI80_gp30,SEA_AARONOCOLUS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092954,FDI80_gp31,FDI80_gp31,SEA_AARONOCOLUS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092955,FDI80_gp32,FDI80_gp32,SEA_AARONOCOLUS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092956,FDI80_gp33,FDI80_gp33,SEA_AARONOCOLUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092957,FDI80_gp34,FDI80_gp34,SEA_AARONOCOLUS_34,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1690426,40092958,FDI80_gp35,FDI80_gp35,SEA_AARONOCOLUS_35,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1690426,40092959,FDI80_gp36,FDI80_gp36,SEA_AARONOCOLUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092960,FDI80_gp37,FDI80_gp37,SEA_AARONOCOLUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092961,FDI80_gp38,FDI80_gp38,SEA_AARONOCOLUS_38,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1690426,40092962,FDI80_gp39,FDI80_gp39,SEA_AARONOCOLUS_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1690426,40092963,FDI80_gp40,FDI80_gp40,SEA_AARONOCOLUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092964,FDI80_gp41,FDI80_gp41,SEA_AARONOCOLUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092965,FDI80_gp42,FDI80_gp42,SEA_AARONOCOLUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092966,FDI80_gp43,FDI80_gp43,SEA_AARONOCOLUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092967,FDI80_gp44,FDI80_gp44,SEA_AARONOCOLUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092968,FDI80_gp45,FDI80_gp45,SEA_AARONOCOLUS_45,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1690426,40092969,FDI80_gp46,FDI80_gp46,SEA_AARONOCOLUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092970,FDI80_gp47,FDI80_gp47,SEA_AARONOCOLUS_47,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1690426,40092971,FDI80_gp48,FDI80_gp48,SEA_AARONOCOLUS_48,-,-,-,Lsr2-like protein,protein-coding,-,-,-,Lsr2-like protein,20201221,-
1690426,40092972,FDI80_gp49,FDI80_gp49,SEA_AARONOCOLUS_49,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201221,-
1690426,40092973,FDI80_gp50,FDI80_gp50,SEA_AARONOCOLUS_50,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20201221,-
1690426,40092974,FDI80_gp51,FDI80_gp51,SEA_AARONOCOLUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092975,FDI80_gp52,FDI80_gp52,SEA_AARONOCOLUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092976,FDI80_gp53,FDI80_gp53,SEA_AARONOCOLUS_53,-,-,-,DNA polymerase III subunit alpha,protein-coding,-,-,-,DNA polymerase III subunit alpha,20201221,-
1690426,40092977,FDI80_gp54,FDI80_gp54,SEA_AARONOCOLUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092978,FDI80_gp55,FDI80_gp55,SEA_AARONOCOLUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092979,FDI80_gp56,FDI80_gp56,SEA_AARONOCOLUS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092980,FDI80_gp57,FDI80_gp57,SEA_AARONOCOLUS_57,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20201221,-
1690426,40092981,FDI80_gp58,FDI80_gp58,SEA_AARONOCOLUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092982,FDI80_gp59,FDI80_gp59,SEA_AARONOCOLUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092983,FDI80_gp60,FDI80_gp60,SEA_AARONOCOLUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092984,FDI80_gp61,FDI80_gp61,SEA_AARONOCOLUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092985,FDI80_gp62,FDI80_gp62,SEA_AARONOCOLUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092986,FDI80_gp63,FDI80_gp63,SEA_AARONOCOLUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092987,FDI80_gp64,FDI80_gp64,SEA_AARONOCOLUS_64,-,-,-,HNH-domain protein,protein-coding,-,-,-,HNH-domain protein,20201221,-
1690426,40092988,FDI80_gp65,FDI80_gp65,SEA_AARONOCOLUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092989,FDI80_gp66,FDI80_gp66,SEA_AARONOCOLUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092990,FDI80_gp67,FDI80_gp67,SEA_AARONOCOLUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092991,FDI80_gp68,FDI80_gp68,SEA_AARONOCOLUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092992,FDI80_gp69,FDI80_gp69,SEA_AARONOCOLUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092993,FDI80_gp70,FDI80_gp70,SEA_AARONOCOLUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092994,FDI80_gp71,FDI80_gp71,SEA_AARONOCOLUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092995,FDI80_gp72,FDI80_gp72,SEA_AARONOCOLUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092996,FDI80_gp73,FDI80_gp73,SEA_AARONOCOLUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40092997,FDI80_gp01,FDI80_gp01,SEA_AARONOCOLUS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1690426,40120218,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
