#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743936,58557257,H6S70_gp53,H6S70_gp53,vBPaeMUSP1_53,-,-,-,DNA polymerase III epsilon subunit,protein-coding,-,-,-,DNA polymerase III epsilon subunit,20201222,-
2743936,58557286,H6S70_gp75,H6S70_gp75,vBPaeMUSP1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557287,H6S70_gp21,H6S70_gp21,vBPaeMUSP1_21,-,-,-,major structural protein,protein-coding,-,-,-,major structural protein,20210605,-
2743936,58557288,H6S70_gp50,H6S70_gp50,vBPaeMUSP1_50,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210522,-
2743936,58557289,H6S70_gp74,H6S70_gp74,vBPaeMUSP1_74,-,-,-,IgA FC receptor precursor,protein-coding,-,-,-,IgA FC receptor precursor,20201222,-
2743936,58557290,H6S70_gp48,H6S70_gp48,vBPaeMUSP1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557291,H6S70_gp35,H6S70_gp35,vBPaeMUSP1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557292,H6S70_gp10,H6S70_gp10,vBPaeMUSP1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557293,H6S70_gp27,H6S70_gp27,vBPaeMUSP1_27,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210522,-
2743936,58557294,H6S70_gp73,H6S70_gp73,vBPaeMUSP1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557295,H6S70_gp47,H6S70_gp47,vBPaeMUSP1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557296,H6S70_gp54,H6S70_gp54,vBPaeMUSP1_54,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210522,-
2743936,58557297,H6S70_gp26,H6S70_gp26,vBPaeMUSP1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557298,H6S70_gp13,H6S70_gp13,vBPaeMUSP1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557299,H6S70_gp39,H6S70_gp39,vBPaeMUSP1_39,-,-,-,chain A puncturing protein,protein-coding,-,-,-,chain A puncturing protein,20210123,-
2743936,58557300,H6S70_gp33,H6S70_gp33,vBPaeMUSP1_33,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2743936,58557301,H6S70_gp24,H6S70_gp24,vBPaeMUSP1_24,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2743936,58557302,H6S70_gp29,H6S70_gp29,vBPaeMUSP1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557303,H6S70_gp69,H6S70_gp69,vBPaeMUSP1_69,-,-,-,primase,protein-coding,-,-,-,primase,20210522,-
2743936,58557304,H6S70_gp09,H6S70_gp09,vBPaeMUSP1_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557305,H6S70_gp23,H6S70_gp23,vBPaeMUSP1_23,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210129,-
2743936,58557306,H6S70_gp32,H6S70_gp32,vBPaeMUSP1_32,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2743936,58557307,H6S70_gp36,H6S70_gp36,vBPaeMUSP1_36,-,-,-,lytic tail protein,protein-coding,-,-,-,lytic tail protein,20210522,-
2743936,58557308,H6S70_gp66,H6S70_gp66,vBPaeMUSP1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557309,H6S70_gp52,H6S70_gp52,vBPaeMUSP1_52,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20210522,-
2743936,58557310,H6S70_gp34,H6S70_gp34,vBPaeMUSP1_34,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2743936,58557311,H6S70_gp07,H6S70_gp07,vBPaeMUSP1_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2743936,58557312,H6S70_gp25,H6S70_gp25,vBPaeMUSP1_25,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2743936,58557313,H6S70_gp04,H6S70_gp04,vBPaeMUSP1_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557314,H6S70_gp15,H6S70_gp15,vBPaeMUSP1_15,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210123,-
2743936,58557315,H6S70_gp06,H6S70_gp06,vBPaeMUSP1_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557316,H6S70_gp31,H6S70_gp31,vBPaeMUSP1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557317,H6S70_gp12,H6S70_gp12,vBPaeMUSP1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557318,H6S70_gp14,H6S70_gp14,vBPaeMUSP1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557319,H6S70_gp30,H6S70_gp30,vBPaeMUSP1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557320,H6S70_gp76,H6S70_gp76,vBPaeMUSP1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557321,H6S70_gp45,H6S70_gp45,vBPaeMUSP1_45,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210522,-
2743936,58557322,H6S70_gp84,H6S70_gp84,vBPaeMUSP1_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557323,H6S70_gp59,H6S70_gp59,vBPaeMUSP1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557324,H6S70_gp62,H6S70_gp62,vBPaeMUSP1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743936,58557325,H6S70_gp77,H6S70_gp77,vBPaeMUSP1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557326,H6S70_gp86,H6S70_gp86,vBPaeMUSP1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557327,H6S70_gp78,H6S70_gp78,vBPaeMUSP1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557328,H6S70_gp05,H6S70_gp05,vBPaeMUSP1_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557329,H6S70_gp60,H6S70_gp60,vBPaeMUSP1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557330,H6S70_gp61,H6S70_gp61,vBPaeMUSP1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557331,H6S70_gp82,H6S70_gp82,vBPaeMUSP1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557332,H6S70_gp85,H6S70_gp85,vBPaeMUSP1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557333,H6S70_gp81,H6S70_gp81,vBPaeMUSP1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557334,H6S70_gp18,H6S70_gp18,vBPaeMUSP1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557335,H6S70_gp58,H6S70_gp58,vBPaeMUSP1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557336,H6S70_gp83,H6S70_gp83,vBPaeMUSP1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557337,H6S70_gp56,H6S70_gp56,vBPaeMUSP1_56,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210522,-
2743936,58557338,H6S70_gp87,H6S70_gp87,vBPaeMUSP1_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743936,58557339,H6S70_gp71,H6S70_gp71,vBPaeMUSP1_71,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2743936,58557340,H6S70_gp02,H6S70_gp02,vBPaeMUSP1_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
2743936,58557341,H6S70_gp79,H6S70_gp79,vBPaeMUSP1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58557342,H6S70_gp19,H6S70_gp19,vBPaeMUSP1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2743936,58557343,H6S70_gp01,H6S70_gp01,vBPaeMUSP1_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2743936,58729625,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200819,-
