#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2178923,60336934,2,I5J51_gp02,SEA_XAVIA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2178923,60336967,35,I5J51_gp35,SEA_XAVIA_35,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210417,-
2178923,60336968,36,I5J51_gp36,SEA_XAVIA_36,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201130,-
2178923,60336969,37,I5J51_gp37,SEA_XAVIA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2178923,60336970,38,I5J51_gp38,SEA_XAVIA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2178923,60336971,39,I5J51_gp39,SEA_XAVIA_39,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201130,-
2178923,60336972,40,I5J51_gp40,SEA_XAVIA_40,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210417,-
2178923,60336973,41,I5J51_gp41,SEA_XAVIA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336974,42,I5J51_gp42,SEA_XAVIA_42,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2178923,60336975,43,I5J51_gp43,SEA_XAVIA_43,-,-,-,excise,protein-coding,-,-,-,excise,20201130,-
2178923,60336976,44,I5J51_gp44,SEA_XAVIA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336977,45,I5J51_gp45,SEA_XAVIA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336978,46,I5J51_gp46,SEA_XAVIA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336979,47,I5J51_gp47,SEA_XAVIA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2178923,60336980,48,I5J51_gp48,SEA_XAVIA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336981,49,I5J51_gp49,SEA_XAVIA_49,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2178923,60336982,51,I5J51_gp51,SEA_XAVIA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336983,52,I5J51_gp52,SEA_XAVIA_52,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210424,-
2178923,60336984,53,I5J51_gp53,SEA_XAVIA_53,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2178923,60336985,54,I5J51_gp54,SEA_XAVIA_54,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2178923,60336986,55,I5J51_gp55,SEA_XAVIA_55,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2178923,60336987,56,I5J51_gp56,SEA_XAVIA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336988,57,I5J51_gp57,SEA_XAVIA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336989,58,I5J51_gp58,SEA_XAVIA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336990,59,I5J51_gp59,SEA_XAVIA_59,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2178923,60336991,60,I5J51_gp60,SEA_XAVIA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336992,61,I5J51_gp61,SEA_XAVIA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336993,63,I5J51_gp63,SEA_XAVIA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336994,64,I5J51_gp64,SEA_XAVIA_64,-,-,-,RepA-like replication initiator,protein-coding,-,-,-,RepA-like replication initiator,20201130,-
2178923,60336995,65,I5J51_gp65,SEA_XAVIA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336996,66,I5J51_gp66,SEA_XAVIA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336997,67,I5J51_gp67,SEA_XAVIA_67,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2178923,60336998,68,I5J51_gp68,SEA_XAVIA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60336999,69,I5J51_gp69,SEA_XAVIA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60337000,70,I5J51_gp70,SEA_XAVIA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60337001,71,I5J51_gp71,SEA_XAVIA_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2178923,60337002,62,I5J51_gp62,SEA_XAVIA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2178923,60337003,50,I5J51_gp50,SEA_XAVIA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2178923,60337004,1,I5J51_gp01,SEA_XAVIA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2178923,60350509,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
